# qwen4exp_real_gate	label=dt4-ladder-thinkon	binary_sha256=2f64b2cdae19edf32c146f045262c057cb28ec3d876740320fc99be334fa8491	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# router-ab seam=devtwin k=5 pmin=0.3 adapt=Some(1): host twin vs device seam, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft	first_div_vs_host
0	devtwin_off	256	13.06	76.58	0.615	1.94	2.08	22.18	36	27	-1
0	devtwin_on	256	11.34	88.22	0.615	1.94	2.29	19.12	36	27	-1
1	devtwin_off	256	12.98	77.05	0.615	1.94	2.08	22.03	36	27	-1
1	devtwin_on	256	11.36	88.04	0.615	1.94	2.28	19.17	36	27	-1
2	devtwin_off	256	12.96	77.16	0.615	1.94	2.08	21.99	36	27	-1
2	devtwin_on	256	11.35	88.10	0.615	1.94	2.29	19.15	36	27	-1
3	devtwin_off	256	12.99	76.98	0.615	1.94	2.08	22.05	36	27	-1
3	devtwin_on	256	11.35	88.09	0.615	1.94	2.29	19.16	36	27	-1
4	devtwin_off	256	13.03	76.73	0.615	1.94	2.09	22.13	36	27	-1
4	devtwin_on	256	11.31	88.39	0.615	1.94	2.29	19.08	36	27	-1
# arm devtwin_off	reps=5	median_ms=12.990	spread_abs_ms=0.099	spread_rel=0.7594%	mean_ms=13.004	tok_per_s=76.98
# arm devtwin_on	reps=5	median_ms=11.350	spread_abs_ms=0.045	spread_rel=0.3943%	mean_ms=11.342	tok_per_s=88.10
# escalation	pair=host-vs-dev	rule=a	reps 3->5	spread_rel_host=0.7601%	spread_rel_arm=0.2035%	verdict_ms=1.629	pooled_spread_ms=0.061
# speedup_dev_over_host	1.1445	(decision medians)
# earliest_chain_divergence	-1
