# qwen4exp_real_gate	label=dt4-defer-ladder	binary_sha256=2f64b2cdae19edf32c146f045262c057cb28ec3d876740320fc99be334fa8491	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=1 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	11.91	83.99	0.727	1.61	1.21	17.47	27	27
0	defer	256	11.92	83.86	0.727	1.61	1.21	17.52	27	27
0	defer-gsync	256	11.92	83.88	0.727	1.61	1.21	17.51	27	27
1	host	256	11.76	85.02	0.727	1.61	1.21	17.25	27	27
1	defer	256	11.67	85.66	0.727	1.61	1.21	17.11	27	27
1	defer-gsync	256	11.70	85.44	0.727	1.61	1.21	17.16	27	27
2	host	256	11.74	85.15	0.727	1.61	1.21	17.22	27	27
2	defer	256	11.69	85.51	0.727	1.61	1.21	17.14	27	27
2	defer-gsync	256	11.57	86.44	0.727	1.61	1.21	16.94	27	27
3	host	256	11.60	86.24	0.727	1.61	1.21	16.98	27	27
3	defer	256	11.52	86.82	0.727	1.61	1.21	16.86	27	27
3	defer-gsync	256	11.53	86.74	0.727	1.61	1.21	16.88	27	27
4	host	256	11.52	86.77	0.727	1.61	1.21	16.87	27	27
4	defer	256	11.48	87.08	0.727	1.61	1.21	16.80	27	27
4	defer-gsync	256	11.55	86.55	0.727	1.61	1.21	16.92	27	27
# arm host	reps=5	median_ms=11.744	spread_abs_ms=0.381	spread_rel=3.2476%	mean_ms=11.706	tok_per_s=85.15
# arm defer	reps=5	median_ms=11.673	spread_abs_ms=0.441	spread_rel=3.7802%	mean_ms=11.659	tok_per_s=85.66
# arm defer-gsync	reps=5	median_ms=11.569	spread_abs_ms=0.393	spread_rel=3.3965%	mean_ms=11.655	tok_per_s=86.44
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=1.3777%	spread_rel_arm=2.1468%	verdict_ms=0.068	pooled_spread_ms=0.207
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=1.3777%	spread_rel_arm=3.0111%	verdict_ms=0.058	pooled_spread_ms=0.257
# speedup_defer_over_host	1.0060	(decision medians)
# identity	PASS
