t	layer	current_us	dual_us	saving_us
2	3	144.944255	137.279415	7.664839999999998
2	4	145.11310500000002	137.37312500000002	7.739980000000003
2	5	145.15972	137.29183	7.8678899999999885
2	6	145.08676	137.33032500000002	7.756434999999982
2	7	145.062065	137.379335	7.682729999999992
2	8	145.06492	137.34962	7.715300000000013
2	9	145.007475	137.23081000000002	7.77666499999998
2	10	144.96801	137.341765	7.626244999999983
2	11	145.11468	137.371735	7.742944999999992
2	12	144.78793000000002	136.86382500000002	7.924104999999997
2	13	145.15267	137.40223	7.7504399999999976
2	14	145.13297999999998	137.27388000000002	7.859099999999955
2	15	144.81144999999998	136.947745	7.863704999999982
2	16	145.13222	137.2604	7.871819999999985
2	17	144.46641	136.627025	7.839384999999993
2	18	145.10176	137.320925	7.780835000000025
2	19	145.13912	137.298405	7.840714999999989
2	20	144.341955	136.62263000000002	7.719324999999998
2	21	144.52841	136.625655	7.902755000000013
2	22	145.158365	137.318205	7.840159999999997
2	23	145.17955	137.35001499999998	7.829535000000021
2	24	145.06884	137.23204	7.8367999999999824
2	25	145.135985	137.231485	7.904500000000013
2	26	144.31189	136.36570999999998	7.946180000000027
2	27	144.718345	136.94268499999998	7.775660000000016
2	28	145.16915	137.373615	7.795535000000001
2	29	144.611265	136.71401500000002	7.8972499999999854
2	30	144.35088	136.494675	7.856204999999989
2	31	145.049995	137.371165	7.678830000000005
2	32	145.15184	137.22584999999998	7.925990000000013
2	33	145.12168	137.22881	7.892869999999988
2	34	145.14468	137.301	7.843680000000006
2	35	145.19960500000002	137.45468499999998	7.744920000000036
2	36	145.098485	137.251005	7.847480000000019
2	37	145.124735	137.323415	7.801319999999976
2	38	145.191945	137.40228000000002	7.789664999999985
2	39	144.95398	137.183025	7.770955000000015
2	40	145.14493	137.30926499999998	7.835665000000006
2	41	145.035365	137.23566499999998	7.79970000000003
2	42	145.03543	137.21336000000002	7.822069999999968
2	43	144.473905	136.666265	7.807639999999992
2	44	145.16125499999998	137.25858499999998	7.9026700000000005
4	3	248.1423	242.757165	5.3851350000000195
4	4	247.80466	242.35393499999998	5.450725000000034
4	5	247.842245	242.429045	5.413199999999989
4	6	247.516995	242.04067500000002	5.476319999999987
4	7	247.76742000000002	242.20946500000002	5.557954999999993
4	8	247.13715000000002	241.554355	5.582795000000033
4	9	247.60144	242.098905	5.502534999999995
4	10	247.51159	242.13778	5.37381000000002
4	11	247.55360000000002	242.168765	5.38483500000001
4	12	246.92734000000002	241.224885	5.702455000000015
4	13	247.022775	241.57631	5.446464999999989
4	14	247.01415500000002	241.26546	5.748695000000026
4	15	246.75239499999998	240.846015	5.906379999999984
4	16	247.22292	241.76836	5.4545599999999865
4	17	247.17926	241.394885	5.784375000000011
4	18	246.886375	241.01674	5.869634999999988
4	19	247.232615	241.68734999999998	5.545265000000029
4	20	246.625615	240.76335	5.862265000000008
4	21	247.009055	241.12027999999998	5.88877500000001
4	22	247.17762	241.64868	5.528939999999977
4	23	247.556175	242.14201	5.414164999999997
4	24	247.218065	241.75360999999998	5.464455000000015
4	25	246.754365	241.02155499999998	5.732810000000029
4	26	247.026685	241.4993	5.527384999999981
4	27	246.47366499999998	240.47877499999998	5.994889999999998
4	28	247.20598999999999	241.8811	5.324889999999982
4	29	246.894495	240.95576499999999	5.938730000000021
4	30	246.835275	240.961265	5.874009999999998
4	31	246.96094	241.24141	5.719529999999992
4	32	246.840005	240.910235	5.929769999999991
4	33	246.966025	241.40529	5.560734999999994
4	34	246.890335	241.021155	5.86918
4	35	247.227375	241.707315	5.520060000000001
4	36	247.12171999999998	241.733305	5.388414999999981
4	37	247.009325	241.26996	5.739364999999992
4	38	247.47761000000003	242.001565	5.476045000000028
4	39	246.99548499999997	241.06236	5.933124999999961
4	40	246.9249	241.11684	5.808060000000012
4	41	247.029855	241.357955	5.671899999999994
4	42	247.507005	242.051145	5.455860000000001
4	43	247.010895	241.446655	5.564240000000012
4	44	247.145275	241.66079000000002	5.484484999999978
7	3	410.94013	410.886655	0.053474999999991724
7	4	411.355505	411.37573499999996	-0.02022999999996955
7	5	411.182995	411.19854999999995	-0.01555499999994936
7	6	410.7396	410.867265	-0.12766499999997905
7	7	409.97112000000004	409.96712	0.004000000000019099
7	8	409.94718	409.90919499999995	0.037985000000048785
7	9	410.161925	410.16661999999997	-0.004694999999969696
