# qwen4exp_real_gate	label=yarn-f1	binary_sha256=c47ce086363fc86cf814327c30e5f7b47999b9c2e234002a4c5db41b2109bc21	ckpt=/home/ubuntu/data/q48fn-nvfp4-yarnf1	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0 }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# reference=/home/ubuntu/realgate/yarn/base/probe-logits-yarn-base.bin	candidate=/home/ubuntu/realgate/yarn/f1/probe-logits-yarn-f1.bin	rows=10	vocab=248320
row	top1_ref	top1_ours	top1_match	top20_overlap	kl_ref_ours	max_abs
0	20438	20438	true	20/20	0.00000	0.000e0
1	4087	4087	true	20/20	0.00000	0.000e0
2	37550	37550	true	20/20	0.00000	0.000e0
3	33075	33075	true	20/20	0.00000	0.000e0
4	888	888	true	20/20	0.00000	0.000e0
5	279	279	true	20/20	0.00000	0.000e0
6	15217	15217	true	20/20	0.00000	0.000e0
7	5388	5388	true	20/20	0.00000	0.000e0
8	13	13	true	20/20	0.00000	0.000e0
9	271	271	true	20/20	0.00000	0.000e0
