# qwen4exp_real_gate	label=yarn1m	binary_sha256=85300c99ace448c809222d2dc6ae3eb995008da75842ec9b6895b763ca7717ff	ckpt=/home/ubuntu/data/q48fn-nvfp4-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# load_seconds=683.1
# vram	post-load	0, 89971 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
# probe_tokens=10	ids=[760, 3841, 13477, 37550, 33075, 888, 279, 15217, 5388, 13]
# prefill_seconds=0.70
# vram	post-prefill	0, 90131 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
record	rows	cols	max_abs	max_rel	mean_abs	ref_absmax
layer0	10	10240	7.269e-3	7.269e-3	2.142e-4	3.242e-1
layer1	10	10240	7.227e-3	7.227e-3	3.351e-4	4.551e-1
layer2	10	10240	9.171e-3	9.171e-3	4.949e-4	5.273e-1
layer3	10	10240	1.052e-2	1.052e-2	6.540e-4	5.039e-1
layer4	10	10240	2.453e-2	2.453e-2	9.525e-4	5.000e-1
layer5	10	10240	4.044e-2	2.255e-2	1.077e-3	3.047e0
layer6	10	10240	3.950e-2	2.495e-2	1.275e-3	3.078e0
layer7	10	10240	3.766e-2	3.732e-2	1.459e-3	3.047e0
layer8	10	10240	3.723e-2	3.700e-2	1.573e-3	3.062e0
layer9	10	10240	3.919e-2	3.557e-2	1.680e-3	3.062e0
layer10	10	10240	3.944e-2	3.540e-2	1.771e-3	3.125e0
layer11	10	10240	4.564e-2	3.635e-2	1.853e-3	3.016e0
layer12	10	10240	3.927e-2	3.927e-2	1.933e-3	2.953e0
layer13	10	10240	3.906e-2	3.906e-2	2.043e-3	2.984e0
layer14	10	10240	3.983e-2	3.898e-2	2.167e-3	3.016e0
layer15	10	10240	3.947e-2	3.947e-2	2.233e-3	2.953e0
layer16	10	10240	3.745e-2	3.745e-2	2.463e-3	2.938e0
layer17	10	10240	4.279e-2	4.279e-2	2.552e-3	2.969e0
layer18	10	10240	3.950e-2	3.950e-2	2.821e-3	2.969e0
layer19	10	10240	3.905e-2	3.905e-2	2.912e-3	3.000e0
layer20	10	10240	4.084e-2	4.084e-2	2.957e-3	2.938e0
layer21	10	10240	3.837e-2	3.837e-2	3.124e-3	2.969e0
layer22	10	10240	4.156e-2	4.156e-2	3.356e-3	2.969e0
layer23	10	10240	3.596e-2	3.596e-2	3.435e-3	2.969e0
layer24	10	10240	3.996e-2	3.996e-2	3.791e-3	3.828e0
layer25	10	10240	3.910e-2	3.910e-2	3.878e-3	3.859e0
layer26	10	10240	5.239e-2	5.239e-2	4.053e-3	5.062e0
layer27	10	10240	5.425e-2	5.425e-2	4.412e-3	4.750e0
layer28	10	10240	5.711e-2	5.711e-2	4.766e-3	4.531e0
layer29	10	10240	7.549e-2	7.549e-2	5.224e-3	4.469e0
layer30	10	10240	8.462e-2	8.462e-2	5.728e-3	4.438e0
layer31	10	10240	1.091e-1	1.091e-1	6.018e-3	4.281e0
layer32	10	10240	1.482e-1	1.482e-1	6.736e-3	3.891e0
layer33	10	10240	1.669e-1	1.669e-1	7.241e-3	3.844e0
layer34	10	10240	2.015e-1	2.015e-1	7.970e-3	3.828e0
layer35	10	10240	2.398e-1	2.398e-1	8.916e-3	3.859e0
layer36	10	10240	3.855e-1	3.855e-1	1.263e-2	6.844e0
layer37	10	10240	3.911e-1	3.911e-1	1.419e-2	7.094e0
layer38	10	10240	3.935e-1	3.935e-1	1.635e-2	7.094e0
layer39	10	10240	4.346e-1	4.346e-1	1.908e-2	7.188e0
layer40	10	10240	4.473e-1	4.473e-1	2.264e-2	7.219e0
layer41	10	10240	4.753e-1	4.753e-1	2.459e-2	7.125e0
layer42	10	10240	4.469e-1	4.469e-1	2.658e-2	7.156e0
layer43	10	10240	5.046e-1	5.046e-1	2.970e-2	7.188e0
layer44	10	10240	7.103e-1	7.103e-1	3.647e-2	1.162e1
layer45	10	10240	8.497e-1	7.780e-1	4.462e-2	1.169e1
layer46	10	10240	9.950e-1	7.080e-1	5.247e-2	1.350e1
layer47	10	10240	1.287e0	9.952e-1	5.631e-2	2.575e1
exit_mixer	10	2560	2.432e1	6.487e0	4.310e-1	1.880e2
logits	10	248320	5.961e0	4.858e0	2.693e-1	1.938e1
logits_row	max_abs	max_rel	ref_absmax	golden_top1	our_top1	match
0	3.552e-1	3.552e-1	1.231e1	20438	20438	true
1	1.183e0	1.027e0	1.431e1	4087	4087	true
2	9.728e-1	8.780e-1	1.800e1	37550	37550	true
3	9.424e-1	9.293e-1	1.650e1	33075	33075	true
4	1.287e0	1.078e0	1.875e1	888	888	true
5	1.793e0	1.764e0	1.850e1	279	279	true
6	2.330e0	1.514e0	1.938e1	15217	15217	true
7	1.736e0	1.711e0	1.875e1	5388	5388	true
8	1.975e0	1.879e0	1.556e1	13	13	true
9	5.961e0	4.858e0	1.675e1	271	271	true
# logits_argmax_agreement	10/10
# probe_logits	/home/ubuntu/realgate/yarn/gate-1m/probe-logits-yarn1m.bin	rows=10	vocab=248320
