# qwen4exp_real_gate	label=smoke2-local	binary_sha256=34f6e8ea13c8a1c17c4a99c7173961860f759f43ffed1e752f2621f61b84b357	ckpt=/home/ubuntu/data/q48fn-nvfp4-yarn1m	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# ladder	rungs=[4096, 32768]	chunk=8192	decode=30	kv_dev1=false	spec=None	ids=1150000	cap=32896
# vram	pre-ladder	0, 89971 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB
rung	prefill_seg_s	prefill_cum_s	chunks	decode_warm_mean_ms	decode_median_ms	decode_p90_ms	tok_per_s	timing_rounds	looped	host_rss_mib	vram	continuation_ids
# prefill-profile	rung=4096	first_chunk_t=4096
# prefill-profile	moe.sel_grouped	5088.8ms	33.1%	calls=48
# prefill-profile	hyper.read	2695.7ms	17.5%	calls=96
# prefill-profile	gdn.proj	1978.1ms	12.9%	calls=36
# prefill-profile	gdn.conv_scan	1810.9ms	11.8%	calls=36
# prefill-profile	qsa.sdpa	1255.4ms	8.2%	calls=12
# prefill-profile	gdn.norm_gate_out	723.9ms	4.7%	calls=36
# prefill-profile	qsa.proj	524.2ms	3.4%	calls=12
# prefill-profile	moe.shared	515.0ms	3.3%	calls=48
# prefill-profile	qsa.gate_wo	237.4ms	1.5%	calls=12
# prefill-profile	qsa.idx_host	230.8ms	1.5%	calls=12
4096	18.7	18.7	1	25.7	25.7	25.9	38.95	rounds=5x10 medians=[25.7, 25.6, 25.5, 25.7, 25.8] spread=1.13% (escalated x5)	false	167822	0, 94141 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB	10713,83,90,2738,54084,30,26,198,262,333,198,262,3165,49639,2031,1209,2551,11,1857,4185,5189,12164,2072,30,26,198,262,3165,49639,7,198,285,594,403,4193,5275,437,70,942,3778,3842,198,285,3443,52954,13183,6406,75303,82,89710,11
# profile	rung=4096	steps=2
# profile	qsa.sdpa	7.8ms	26.3%	calls=24
# profile	qsa.idx_host	4.1ms	13.7%	calls=24
# profile	hyper.read	3.4ms	11.3%	calls=192
# profile	moe.sel_grouped	2.9ms	9.6%	calls=96
# profile	gdn.proj	2.6ms	8.7%	calls=72
# profile	gdn.norm_gate_out	1.4ms	4.7%	calls=72
# profile	moe.shared	1.3ms	4.2%	calls=96
# profile	hyper.write	1.0ms	3.3%	calls=192
# profile	moe.router	0.9ms	3.1%	calls=96
# profile	qsa.proj	0.9ms	3.0%	calls=24
# profile	gdn.conv_scan	0.9ms	3.0%	calls=72
# profile	lm_head	0.8ms	2.9%	calls=2
# prefill-profile	rung=32768	first_chunk_t=8192
# prefill-profile	moe.sel_grouped	10069.7ms	30.5%	calls=48
# prefill-profile	hyper.read	5348.4ms	16.2%	calls=96
# prefill-profile	gdn.proj	3934.1ms	11.9%	calls=36
# prefill-profile	gdn.conv_scan	3592.5ms	10.9%	calls=36
# prefill-profile	qsa.sdpa	3330.9ms	10.1%	calls=12
# prefill-profile	qsa.idx_host	2269.5ms	6.9%	calls=12
# prefill-profile	gdn.norm_gate_out	1396.4ms	4.2%	calls=36
# prefill-profile	qsa.proj	1045.4ms	3.2%	calls=12
# prefill-profile	moe.shared	1028.2ms	3.1%	calls=48
# prefill-profile	qsa.gate_wo	468.0ms	1.4%	calls=12
32768	148.5	167.2	4	52.8	52.8	53.3	18.94	rounds=5x10 medians=[53.3, 52.8, 52.7, 52.8, 52.3] spread=1.89% (escalated x5)	false	168199	0, 96733 MiB, 97887 MiB | 1, 3 MiB, 97887 MiB	15,15,64,198,388,434,10729,1472,310,279,24470,1870,321,280,3864,299,17030,279,2424,12563,41153,198,388,434,1017,13,561,2876,369,5157,12,11614,25,3977,421,369,524,279,799,5157,198,388,434,6483,280,3864,299,25503,411,10845,5055
# profile	rung=32768	steps=2
# profile	qsa.idx_host	29.3ms	52.0%	calls=24
# profile	qsa.sdpa	7.6ms	13.5%	calls=24
# profile	hyper.read	3.3ms	5.9%	calls=192
# profile	moe.sel_grouped	2.8ms	4.9%	calls=96
# profile	gdn.proj	2.6ms	4.6%	calls=72
# profile	ple.host_ngram_gather	2.0ms	3.5%	calls=2
# profile	gdn.norm_gate_out	1.4ms	2.5%	calls=72
# profile	moe.shared	1.2ms	2.2%	calls=96
# profile	hyper.write	1.0ms	1.7%	calls=192
# profile	gdn.conv_scan	0.9ms	1.6%	calls=72
# profile	moe.router	0.9ms	1.6%	calls=96
# profile	qsa.proj	0.9ms	1.6%	calls=24
