timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/13 18:25:02.441, 0 %, 2 MiB, 12.34 W, 195 MHz, 39
2026/09/13 18:25:02.695, 0 %, 542 MiB, 12.34 W, 195 MHz, 39
2026/09/13 18:25:02.945, 1 %, 544 MiB, 15.85 W, 195 MHz, 40
2026/09/13 18:25:03.195, 1 %, 1600 MiB, 15.85 W, 195 MHz, 40
2026/09/13 18:25:03.445, 47 %, 4160 MiB, 35.16 W, 2542 MHz, 40
2026/09/13 18:25:03.696, 47 %, 6592 MiB, 35.16 W, 2542 MHz, 40
2026/09/13 18:25:03.946, 28 %, 10304 MiB, 64.14 W, 2610 MHz, 41
2026/09/13 18:25:04.196, 28 %, 10400 MiB, 64.14 W, 2610 MHz, 41
2026/09/13 18:25:04.446, 98 %, 10400 MiB, 126.81 W, 2790 MHz, 49
2026/09/13 18:25:04.696, 98 %, 10400 MiB, 126.81 W, 2790 MHz, 49
2026/09/13 18:25:04.946, 99 %, 10592 MiB, 293.69 W, 2910 MHz, 50
2026/09/13 18:25:05.197, 99 %, 10592 MiB, 293.69 W, 2910 MHz, 50
2026/09/13 18:25:05.447, 0 %, 38 MiB, 327.29 W, 2910 MHz, 43
2026/09/13 18:25:05.697, 0 %, 544 MiB, 327.29 W, 2910 MHz, 43
2026/09/13 18:25:05.947, 0 %, 1344 MiB, 181.77 W, 2932 MHz, 42
2026/09/13 18:25:06.197, 0 %, 3616 MiB, 181.77 W, 2932 MHz, 42
2026/09/13 18:25:06.448, 27 %, 6080 MiB, 91.36 W, 2932 MHz, 42
2026/09/13 18:25:06.698, 27 %, 10304 MiB, 91.36 W, 2932 MHz, 42
2026/09/13 18:25:06.948, 24 %, 10400 MiB, 99.38 W, 2925 MHz, 43
2026/09/13 18:25:07.198, 24 %, 10400 MiB, 99.38 W, 2925 MHz, 43
2026/09/13 18:25:07.448, 99 %, 10400 MiB, 202.96 W, 2872 MHz, 49
2026/09/13 18:25:07.698, 99 %, 10400 MiB, 202.96 W, 2872 MHz, 49
2026/09/13 18:25:07.949, 99 %, 10688 MiB, 326.58 W, 2910 MHz, 51
2026/09/13 18:25:08.199, 99 %, 10688 MiB, 326.58 W, 2910 MHz, 51
2026/09/13 18:25:08.449, 96 %, 10688 MiB, 416.39 W, 2895 MHz, 53
2026/09/13 18:25:08.699, 96 %, 10688 MiB, 416.39 W, 2895 MHz, 53
2026/09/13 18:25:08.949, 0 %, 22 MiB, 328.19 W, 2910 MHz, 45
2026/09/13 18:25:09.200, 0 %, 544 MiB, 328.19 W, 2910 MHz, 45
2026/09/13 18:25:09.450, 0 %, 1344 MiB, 185.05 W, 2917 MHz, 44
2026/09/13 18:25:09.700, 0 %, 3680 MiB, 185.05 W, 2917 MHz, 44
2026/09/13 18:25:09.950, 32 %, 6112 MiB, 91.38 W, 2917 MHz, 43
2026/09/13 18:25:10.200, 32 %, 10304 MiB, 91.38 W, 2917 MHz, 43
2026/09/13 18:25:10.451, 22 %, 10400 MiB, 98.99 W, 2917 MHz, 44
2026/09/13 18:25:10.701, 22 %, 10400 MiB, 98.99 W, 2917 MHz, 44
2026/09/13 18:25:10.951, 99 %, 10400 MiB, 195.41 W, 2865 MHz, 50
2026/09/13 18:25:11.201, 99 %, 10400 MiB, 195.41 W, 2865 MHz, 50
2026/09/13 18:25:11.451, 99 %, 10400 MiB, 330.23 W, 2910 MHz, 51
2026/09/13 18:25:11.701, 99 %, 10400 MiB, 330.23 W, 2910 MHz, 51
2026/09/13 18:25:11.951, 99 %, 10400 MiB, 430.93 W, 2887 MHz, 54
2026/09/13 18:25:12.202, 99 %, 2 MiB, 430.93 W, 2887 MHz, 54
2026/09/13 18:25:12.479, 12 %, 544 MiB, 336.02 W, 2910 MHz, 45
2026/09/13 18:25:12.729, 12 %, 544 MiB, 336.02 W, 2910 MHz, 45
2026/09/13 18:25:12.979, 0 %, 2016 MiB, 147.55 W, 2917 MHz, 44
2026/09/13 18:25:13.229, 0 %, 4576 MiB, 147.55 W, 2917 MHz, 44
2026/09/13 18:25:13.479, 26 %, 6976 MiB, 93.22 W, 2917 MHz, 44
2026/09/13 18:25:13.729, 26 %, 10304 MiB, 93.22 W, 2917 MHz, 44
2026/09/13 18:25:13.980, 4 %, 10400 MiB, 99.82 W, 2917 MHz, 44
2026/09/13 18:25:14.230, 4 %, 10400 MiB, 99.82 W, 2917 MHz, 44
2026/09/13 18:25:14.480, 99 %, 10400 MiB, 218.99 W, 2880 MHz, 51
2026/09/13 18:25:14.730, 99 %, 10400 MiB, 218.99 W, 2880 MHz, 51
2026/09/13 18:25:14.980, 99 %, 10400 MiB, 372.88 W, 2910 MHz, 52
2026/09/13 18:25:15.230, 99 %, 10400 MiB, 372.88 W, 2910 MHz, 52
2026/09/13 18:25:15.480, 92 %, 10400 MiB, 431.15 W, 2887 MHz, 55
2026/09/13 18:25:15.730, 92 %, 21 MiB, 431.15 W, 2887 MHz, 55
2026/09/13 18:25:15.981, 0 %, 544 MiB, 289.80 W, 2917 MHz, 45
2026/09/13 18:25:16.231, 0 %, 1344 MiB, 289.80 W, 2917 MHz, 45
2026/09/13 18:25:16.481, 0 %, 3520 MiB, 93.24 W, 2917 MHz, 44
2026/09/13 18:25:16.731, 0 %, 5952 MiB, 93.24 W, 2917 MHz, 44
2026/09/13 18:25:16.982, 27 %, 10304 MiB, 91.94 W, 2917 MHz, 44
2026/09/13 18:25:17.232, 27 %, 10400 MiB, 91.94 W, 2917 MHz, 44
2026/09/13 18:25:17.482, 20 %, 10400 MiB, 104.91 W, 2917 MHz, 44
2026/09/13 18:25:17.732, 20 %, 10400 MiB, 104.91 W, 2917 MHz, 44
2026/09/13 18:25:17.982, 99 %, 10400 MiB, 268.75 W, 2910 MHz, 52
2026/09/13 18:25:18.232, 99 %, 10656 MiB, 268.75 W, 2910 MHz, 52
2026/09/13 18:25:18.482, 99 %, 10656 MiB, 392.37 W, 2880 MHz, 55
2026/09/13 18:25:18.733, 99 %, 10656 MiB, 392.37 W, 2880 MHz, 55
2026/09/13 18:25:18.983, 0 %, 2 MiB, 388.99 W, 2887 MHz, 49
2026/09/13 18:25:19.233, 0 %, 544 MiB, 388.99 W, 2887 MHz, 49
2026/09/13 18:25:19.483, 1 %, 544 MiB, 247.88 W, 2917 MHz, 45
2026/09/13 18:25:19.733, 1 %, 2272 MiB, 247.88 W, 2917 MHz, 45
2026/09/13 18:25:19.983, 36 %, 4800 MiB, 93.76 W, 2917 MHz, 45
2026/09/13 18:25:20.234, 36 %, 8000 MiB, 93.76 W, 2917 MHz, 45
2026/09/13 18:25:20.484, 25 %, 10304 MiB, 91.72 W, 2917 MHz, 45
2026/09/13 18:25:20.734, 25 %, 10400 MiB, 91.72 W, 2917 MHz, 45
2026/09/13 18:25:20.984, 97 %, 10400 MiB, 152.88 W, 2895 MHz, 51
2026/09/13 18:25:21.234, 97 %, 10400 MiB, 152.88 W, 2895 MHz, 51
2026/09/13 18:25:21.484, 99 %, 10656 MiB, 290.84 W, 2910 MHz, 52
2026/09/13 18:25:21.734, 99 %, 10656 MiB, 290.84 W, 2910 MHz, 52
2026/09/13 18:25:21.985, 86 %, 10656 MiB, 413.32 W, 2865 MHz, 54
2026/09/13 18:25:22.235, 86 %, 10656 MiB, 413.32 W, 2865 MHz, 54
2026/09/13 18:25:22.485, 0 %, 26 MiB, 345.49 W, 2902 MHz, 47
2026/09/13 18:25:22.736, 0 %, 544 MiB, 345.49 W, 2902 MHz, 47
2026/09/13 18:25:22.986, 0 %, 1344 MiB, 204.28 W, 2917 MHz, 45
2026/09/13 18:25:23.236, 0 %, 3680 MiB, 204.28 W, 2917 MHz, 45
2026/09/13 18:25:23.486, 29 %, 6112 MiB, 93.90 W, 2917 MHz, 45
2026/09/13 18:25:23.736, 29 %, 10304 MiB, 93.90 W, 2917 MHz, 45
2026/09/13 18:25:23.987, 51 %, 10400 MiB, 99.88 W, 2917 MHz, 46
2026/09/13 18:25:24.237, 51 %, 10400 MiB, 99.88 W, 2917 MHz, 46
2026/09/13 18:25:24.487, 99 %, 10400 MiB, 195.11 W, 2880 MHz, 52
2026/09/13 18:25:24.737, 99 %, 10400 MiB, 195.11 W, 2880 MHz, 52
2026/09/13 18:25:24.987, 99 %, 10400 MiB, 343.45 W, 2910 MHz, 53
2026/09/13 18:25:25.237, 99 %, 10400 MiB, 343.45 W, 2910 MHz, 53
2026/09/13 18:25:25.487, 99 %, 10400 MiB, 429.25 W, 2887 MHz, 55
2026/09/13 18:25:25.737, 99 %, 2 MiB, 429.25 W, 2887 MHz, 55
2026/09/13 18:25:25.997, 17 %, 544 MiB, 315.24 W, 2917 MHz, 47
2026/09/13 18:25:26.247, 17 %, 544 MiB, 315.24 W, 2917 MHz, 47
2026/09/13 18:25:26.497, 0 %, 3008 MiB, 125.38 W, 2917 MHz, 45
2026/09/13 18:25:26.747, 0 %, 5504 MiB, 125.38 W, 2917 MHz, 45
2026/09/13 18:25:26.998, 26 %, 10304 MiB, 93.08 W, 2917 MHz, 45
2026/09/13 18:25:27.248, 26 %, 10304 MiB, 93.08 W, 2917 MHz, 45
2026/09/13 18:25:27.498, 0 %, 10432 MiB, 99.86 W, 2917 MHz, 45
2026/09/13 18:25:27.748, 0 %, 10432 MiB, 99.86 W, 2917 MHz, 45
2026/09/13 18:25:27.998, 99 %, 10432 MiB, 251.26 W, 2910 MHz, 53
2026/09/13 18:25:28.248, 99 %, 10432 MiB, 251.26 W, 2910 MHz, 53
2026/09/13 18:25:28.499, 99 %, 10432 MiB, 412.34 W, 2902 MHz, 56
2026/09/13 18:25:28.749, 99 %, 10432 MiB, 412.34 W, 2902 MHz, 56
2026/09/13 18:25:28.999, 0 %, 2 MiB, 396.62 W, 2887 MHz, 50
2026/09/13 18:25:29.249, 0 %, 544 MiB, 396.62 W, 2887 MHz, 50
2026/09/13 18:25:29.499, 1 %, 544 MiB, 252.49 W, 2917 MHz, 46
2026/09/13 18:25:29.749, 1 %, 2432 MiB, 252.49 W, 2917 MHz, 46
2026/09/13 18:25:30.000, 36 %, 4992 MiB, 94.70 W, 2917 MHz, 46
2026/09/13 18:25:30.250, 36 %, 8288 MiB, 94.70 W, 2917 MHz, 46
2026/09/13 18:25:30.500, 25 %, 10304 MiB, 92.06 W, 2917 MHz, 45
2026/09/13 18:25:30.750, 25 %, 10432 MiB, 92.06 W, 2917 MHz, 45
2026/09/13 18:25:31.000, 98 %, 10432 MiB, 156.52 W, 2887 MHz, 52
2026/09/13 18:25:31.250, 98 %, 10432 MiB, 156.52 W, 2887 MHz, 52
2026/09/13 18:25:31.500, 99 %, 10688 MiB, 313.70 W, 2910 MHz, 53
2026/09/13 18:25:31.751, 99 %, 10688 MiB, 313.70 W, 2910 MHz, 53
2026/09/13 18:25:32.001, 90 %, 10688 MiB, 414.83 W, 2850 MHz, 55
2026/09/13 18:25:32.251, 90 %, 10685 MiB, 414.83 W, 2850 MHz, 55
2026/09/13 18:25:32.501, 0 %, 36 MiB, 340.04 W, 2902 MHz, 48
2026/09/13 18:25:32.751, 0 %, 544 MiB, 340.04 W, 2902 MHz, 48
2026/09/13 18:25:33.001, 0 %, 1344 MiB, 192.07 W, 2917 MHz, 46
2026/09/13 18:25:33.252, 0 %, 3776 MiB, 192.07 W, 2917 MHz, 46
2026/09/13 18:25:33.502, 27 %, 6208 MiB, 94.00 W, 2917 MHz, 46
2026/09/13 18:25:33.752, 27 %, 10304 MiB, 94.00 W, 2917 MHz, 46
2026/09/13 18:25:34.002, 55 %, 10400 MiB, 101.28 W, 2917 MHz, 47
2026/09/13 18:25:34.252, 55 %, 10400 MiB, 101.28 W, 2917 MHz, 47
2026/09/13 18:25:34.502, 99 %, 10400 MiB, 192.40 W, 2880 MHz, 52
2026/09/13 18:25:34.752, 99 %, 10400 MiB, 192.40 W, 2880 MHz, 52
2026/09/13 18:25:35.003, 99 %, 10688 MiB, 340.98 W, 2902 MHz, 54
2026/09/13 18:25:35.253, 99 %, 10688 MiB, 340.98 W, 2902 MHz, 54
2026/09/13 18:25:35.503, 96 %, 10688 MiB, 419.81 W, 2887 MHz, 56
2026/09/13 18:25:35.753, 96 %, 2 MiB, 419.81 W, 2887 MHz, 56
2026/09/13 18:25:36.003, 18 %, 544 MiB, 323.48 W, 2910 MHz, 48
2026/09/13 18:25:36.253, 18 %, 544 MiB, 323.48 W, 2910 MHz, 48
2026/09/13 18:25:36.503, 0 %, 2528 MiB, 172.08 W, 2917 MHz, 46
2026/09/13 18:25:36.754, 0 %, 5056 MiB, 172.08 W, 2917 MHz, 46
2026/09/13 18:25:37.004, 28 %, 8640 MiB, 93.04 W, 2917 MHz, 46
2026/09/13 18:25:37.254, 28 %, 10304 MiB, 93.04 W, 2917 MHz, 46
2026/09/13 18:25:37.504, 4 %, 10400 MiB, 101.01 W, 2917 MHz, 46
2026/09/13 18:25:37.754, 4 %, 10400 MiB, 101.01 W, 2917 MHz, 46
2026/09/13 18:25:38.004, 99 %, 10400 MiB, 221.81 W, 2902 MHz, 53
2026/09/13 18:25:38.255, 99 %, 10400 MiB, 221.81 W, 2902 MHz, 53
2026/09/13 18:25:38.505, 98 %, 10400 MiB, 390.70 W, 2902 MHz, 58
2026/09/13 18:25:38.755, 98 %, 10400 MiB, 390.70 W, 2902 MHz, 58
2026/09/13 18:25:39.005, 77 %, 10397 MiB, 427.12 W, 2887 MHz, 57
2026/09/13 18:25:39.255, 77 %, 510 MiB, 427.12 W, 2887 MHz, 57
2026/09/13 18:25:39.505, 0 %, 544 MiB, 285.85 W, 2917 MHz, 48
2026/09/13 18:25:39.756, 0 %, 1344 MiB, 285.85 W, 2917 MHz, 48
2026/09/13 18:25:40.006, 3 %, 3840 MiB, 94.00 W, 2917 MHz, 46
2026/09/13 18:25:40.256, 3 %, 6272 MiB, 94.00 W, 2917 MHz, 46
2026/09/13 18:25:40.506, 25 %, 10304 MiB, 92.38 W, 2917 MHz, 46
2026/09/13 18:25:40.756, 25 %, 10400 MiB, 92.38 W, 2917 MHz, 46
2026/09/13 18:25:41.007, 31 %, 10400 MiB, 111.68 W, 2910 MHz, 46
2026/09/13 18:25:41.257, 31 %, 10400 MiB, 111.68 W, 2910 MHz, 46
2026/09/13 18:25:41.507, 99 %, 10400 MiB, 257.31 W, 2910 MHz, 54
2026/09/13 18:25:41.757, 99 %, 10400 MiB, 257.31 W, 2910 MHz, 54
2026/09/13 18:25:42.007, 99 %, 10400 MiB, 406.22 W, 2872 MHz, 57
2026/09/13 18:25:42.257, 99 %, 10400 MiB, 406.22 W, 2872 MHz, 57
2026/09/13 18:25:42.507, 0 %, 14 MiB, 384.95 W, 2895 MHz, 50
2026/09/13 18:25:42.757, 0 %, 544 MiB, 384.95 W, 2895 MHz, 50
