2026-08-08T22:29:12Z,0, 430 MiB, 0 %, 56, 180 MHz, 405 MHz, 11.29 W, P8
2026-08-08T22:29:20Z,0, 15222 MiB, 0 %, 57, 1590 MHz, 14001 MHz, 28.59 W, P0
2026-08-08T22:29:21Z,0, 17526 MiB, 99 %, 69, 1972 MHz, 14001 MHz, 92.40 W, P0
2026-08-08T22:29:28Z,0, 20278 MiB, 100 %, 74, 1950 MHz, 14001 MHz, 174.12 W, P0
2026-08-08T22:29:31Z,0, 20278 MiB, 100 %, 72, 1747 MHz, 14001 MHz, 162.32 W, P0
2026-08-08T22:29:43Z,0, 20278 MiB, 99 %, 76, 1747 MHz, 14001 MHz, 168.21 W, P0
2026-08-08T22:29:55Z,0, 20406 MiB, 99 %, 79, 1747 MHz, 14001 MHz, 166.16 W, P0
2026-08-08T22:30:12Z,0, 21720 MiB, 100 %, 81, 1695 MHz, 14001 MHz, 161.15 W, P0
2026-08-08T22:30:17Z,0, 430 MiB, 0 %, 72, 180 MHz, 9001 MHz, 19.76 W, P4
2026-08-08T22:30:27Z,0, 15222 MiB, 0 %, 70, 1590 MHz, 14001 MHz, 30.91 W, P0
2026-08-08T22:30:28Z,0, 18966 MiB, 100 %, 79, 1702 MHz, 14001 MHz, 168.20 W, P0
2026-08-08T22:30:29Z,0, 18966 MiB, 99 %, 80, 1965 MHz, 14001 MHz, 160.57 W, P0
2026-08-08T22:30:36Z,0, 21590 MiB, 100 %, 84, 1882 MHz, 14001 MHz, 173.47 W, P0
2026-08-08T22:30:41Z,0, 21590 MiB, 100 %, 80, 1762 MHz, 14001 MHz, 171.42 W, P0
2026-08-08T22:31:02Z,0, 21590 MiB, 100 %, 83, 1807 MHz, 14001 MHz, 171.29 W, P0
2026-08-08T22:31:15Z,0, 21590 MiB, 100 %, 84, 1725 MHz, 14001 MHz, 166.88 W, P0
2026-08-08T22:31:30Z,0, 21974 MiB, 100 %, 85, 1657 MHz, 14001 MHz, 164.21 W, P0
2026-08-08T22:31:35Z,0, 430 MiB, 0 %, 75, 180 MHz, 9001 MHz, 21.83 W, P4
