2026-08-08T22:34:19Z,0, 430 MiB, 0 %, 56, 180 MHz, 405 MHz, 9.74 W, P8
2026-08-08T22:34:27Z,0, 15222 MiB, 0 %, 58, 1590 MHz, 14001 MHz, 28.74 W, P0
2026-08-08T22:34:28Z,0, 17526 MiB, 100 %, 68, 2017 MHz, 14001 MHz, 71.89 W, P0
2026-08-08T22:34:34Z,0, 20278 MiB, 100 %, 75, 1950 MHz, 14001 MHz, 148.07 W, P0
2026-08-08T22:34:41Z,0, 20278 MiB, 99 %, 76, 1920 MHz, 14001 MHz, 171.58 W, P0
2026-08-08T22:34:45Z,0, 20278 MiB, 93 %, 74, 1650 MHz, 14001 MHz, 140.96 W, P0
2026-08-08T22:34:58Z,0, 20278 MiB, 99 %, 80, 1725 MHz, 14001 MHz, 165.79 W, P0
2026-08-08T22:35:10Z,0, 20406 MiB, 99 %, 81, 1650 MHz, 14001 MHz, 152.26 W, P0
2026-08-08T22:35:27Z,0, 21720 MiB, 100 %, 84, 1732 MHz, 14001 MHz, 166.30 W, P0
2026-08-08T22:35:32Z,0, 430 MiB, 0 %, 74, 180 MHz, 9001 MHz, 19.52 W, P4
2026-08-08T22:35:40Z,0, 15222 MiB, 0 %, 71, 1582 MHz, 14001 MHz, 30.99 W, P0
2026-08-08T22:35:41Z,0, 18966 MiB, 100 %, 83, 2145 MHz, 14001 MHz, 175.92 W, P0
2026-08-08T22:35:43Z,0, 18966 MiB, 100 %, 79, 1927 MHz, 14001 MHz, 163.37 W, P0
2026-08-08T22:35:49Z,0, 21590 MiB, 100 %, 85, 1860 MHz, 14001 MHz, 168.91 W, P0
2026-08-08T22:35:54Z,0, 21590 MiB, 100 %, 82, 1822 MHz, 14001 MHz, 169.91 W, P0
2026-08-08T22:35:56Z,0, 21590 MiB, 100 %, 84, 1770 MHz, 14001 MHz, 196.46 W, P0
2026-08-08T22:36:19Z,0, 21590 MiB, 100 %, 85, 1785 MHz, 14001 MHz, 171.30 W, P0
2026-08-08T22:36:33Z,0, 21590 MiB, 100 %, 85, 1695 MHz, 14001 MHz, 163.09 W, P0
2026-08-08T22:36:50Z,0, 22230 MiB, 100 %, 86, 1657 MHz, 14001 MHz, 164.33 W, P0
2026-08-08T22:36:54Z,0, 430 MiB, 0 %, 75, 180 MHz, 9001 MHz, 20.36 W, P4
2026-08-08T22:37:02Z,0, 15222 MiB, 0 %, 73, 1590 MHz, 14001 MHz, 32.36 W, P0
2026-08-08T22:37:04Z,0, 18966 MiB, 100 %, 80, 1980 MHz, 14001 MHz, 158.97 W, P0
2026-08-08T22:37:05Z,0, 18966 MiB, 100 %, 85, 1935 MHz, 14001 MHz, 158.97 W, P0
2026-08-08T22:37:11Z,0, 21590 MiB, 100 %, 87, 1822 MHz, 14001 MHz, 145.35 W, P0
2026-08-08T22:37:16Z,0, 21590 MiB, 100 %, 82, 1672 MHz, 14001 MHz, 160.50 W, P0
2026-08-08T22:37:18Z,0, 21590 MiB, 100 %, 83, 1770 MHz, 14001 MHz, 161.79 W, P0
2026-08-08T22:37:35Z,0, 22230 MiB, 99 %, 85, 1657 MHz, 14001 MHz, 176.85 W, P0
2026-08-08T22:37:48Z,0, 22230 MiB, 100 %, 85, 1710 MHz, 14001 MHz, 166.35 W, P0
2026-08-08T22:38:12Z,0, 22230 MiB, 100 %, 86, 1792 MHz, 14001 MHz, 171.23 W, P0
2026-08-08T22:38:17Z,0, 430 MiB, 0 %, 76, 187 MHz, 9001 MHz, 22.51 W, P4
2026-08-08T22:38:25Z,0, 15222 MiB, 0 %, 73, 1590 MHz, 14001 MHz, 32.09 W, P0
