2026-08-08T22:26:37Z,0, 430 MiB, 0 %, 54, 180 MHz, 405 MHz, 9.54 W, P8
2026-08-08T22:26:46Z,0, 15222 MiB, 0 %, 56, 1597 MHz, 14001 MHz, 29.12 W, P0
2026-08-08T22:26:46Z,0, 17526 MiB, 99 %, 67, 2017 MHz, 14001 MHz, 168.08 W, P0
2026-08-08T22:26:53Z,0, 20278 MiB, 100 %, 73, 1950 MHz, 14001 MHz, 173.41 W, P0
2026-08-08T22:26:57Z,0, 20278 MiB, 99 %, 73, 1755 MHz, 14001 MHz, 161.68 W, P0
2026-08-08T22:27:09Z,0, 20278 MiB, 98 %, 74, 1545 MHz, 14001 MHz, 136.99 W, P0
2026-08-08T22:27:22Z,0, 20406 MiB, 99 %, 79, 1665 MHz, 14001 MHz, 157.11 W, P0
2026-08-08T22:27:39Z,0, 21720 MiB, 100 %, 81, 1695 MHz, 14001 MHz, 160.88 W, P0
2026-08-08T22:27:44Z,0, 430 MiB, 0 %, 72, 180 MHz, 9001 MHz, 19.70 W, P5
2026-08-08T22:27:52Z,0, 15222 MiB, 0 %, 70, 1582 MHz, 14001 MHz, 30.56 W, P0
2026-08-08T22:27:53Z,0, 17302 MiB, 100 %, 77, 1875 MHz, 14001 MHz, 169.48 W, P0
2026-08-08T22:28:00Z,0, 20438 MiB, 100 %, 82, 1777 MHz, 14001 MHz, 152.53 W, P0
2026-08-08T22:28:05Z,0, 20438 MiB, 92 %, 83, 1875 MHz, 14001 MHz, 149.76 W, P0
