2026-08-08T22:22:35Z,0, 430 MiB, 0 %, 54, 180 MHz, 405 MHz, 9.41 W, P8
2026-08-08T22:22:48Z,0, 15222 MiB, 0 %, 56, 1590 MHz, 14001 MHz, 28.33 W, P0
2026-08-08T22:22:49Z,0, 18230 MiB, 98 %, 65, 1995 MHz, 14001 MHz, 93.64 W, P0
2026-08-08T22:22:55Z,0, 22294 MiB, 100 %, 74, 2025 MHz, 14001 MHz, 173.59 W, P0
2026-08-08T22:22:59Z,0, 22998 MiB, 100 %, 71, 1747 MHz, 14001 MHz, 164.87 W, P0
2026-08-08T22:23:10Z,0, 23894 MiB, 99 %, 75, 1755 MHz, 14001 MHz, 167.79 W, P0
2026-08-08T22:23:22Z,0, 23926 MiB, 99 %, 77, 1747 MHz, 14001 MHz, 166.89 W, P0
2026-08-08T22:23:44Z,0, 23926 MiB, 100 %, 84, 1950 MHz, 14001 MHz, 171.72 W, P0
2026-08-08T22:23:48Z,0, 430 MiB, 0 %, 70, 180 MHz, 9001 MHz, 19.29 W, P4
