timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/09/09 11:21:39.298, 32, 195 MHz, 3.45 W, 2 MiB
2026/09/09 11:21:39.554, 32, 570 MHz, 6.67 W, 510 MiB
2026/09/09 11:21:39.804, 32, 570 MHz, 6.67 W, 652 MiB
2026/09/09 11:21:40.054, 43, 2580 MHz, 45.64 W, 652 MiB
2026/09/09 11:21:40.304, 43, 2580 MHz, 45.64 W, 652 MiB
2026/09/09 11:21:40.554, 49, 2392 MHz, 341.20 W, 652 MiB
2026/09/09 11:21:40.804, 49, 2392 MHz, 341.20 W, 510 MiB
2026/09/09 11:21:41.054, 38, 2962 MHz, 397.47 W, 666 MiB
2026/09/09 11:21:41.304, 38, 2962 MHz, 397.47 W, 666 MiB
2026/09/09 11:21:41.554, 50, 2460 MHz, 389.85 W, 666 MiB
2026/09/09 11:21:41.805, 50, 2460 MHz, 389.85 W, 507 MiB
