vision_model.conv1.weight	BF16	[1536, 3, 14, 14]
vision_model.ln_pre.bias	BF16	[1536]
vision_model.ln_pre.weight	BF16	[1536]
vision_model.positional_embedding	BF16	[2704, 1536]
vision_model.transformer.resblocks.0.attn.in_proj_bias	BF16	[4608]
vision_model.transformer.resblocks.0.attn.in_proj_weight	BF16	[4608, 1536]
vision_model.transformer.resblocks.0.attn.out_proj.bias	BF16	[1536]
vision_model.transformer.resblocks.0.attn.out_proj.weight	BF16	[1536, 1536]
vision_model.transformer.resblocks.0.ln_1.bias	BF16	[1536]
vision_model.transformer.resblocks.0.ln_1.weight	BF16	[1536]
vision_model.transformer.resblocks.0.ln_2.bias	BF16	[1536]
vision_model.transformer.resblocks.0.ln_2.weight	BF16	[1536]
vision_model.transformer.resblocks.0.ls_1.gamma	BF16	[1536]
vision_model.transformer.resblocks.0.ls_2.gamma	BF16	[1536]
vision_model.transformer.resblocks.0.mlp.c_fc.bias	BF16	[8960]
vision_model.transformer.resblocks.0.mlp.c_fc.weight	BF16	[8960, 1536]
vision_model.transformer.resblocks.0.mlp.c_proj.bias	BF16	[1536]
vision_model.transformer.resblocks.0.mlp.c_proj.weight	BF16	[1536, 8960]
vision_model.transformer.resblocks.1.attn.in_proj_bias	BF16	[4608]
vision_model.transformer.resblocks.1.attn.in_proj_weight	BF16	[4608, 1536]
vision_model.transformer.resblocks.1.attn.out_proj.bias	BF16	[1536]
vision_model.transformer.resblocks.1.attn.out_proj.weight	BF16	[1536, 1536]
vision_model.transformer.resblocks.1.ln_1.bias	BF16	[1536]
vision_model.transformer.resblocks.1.ln_1.weight	BF16	[1536]
vision_model.transformer.resblocks.1.ln_2.bias	BF16	[1536]
vision_model.transformer.resblocks.1.ln_2.weight	BF16	[1536]
vision_model.transformer.resblocks.1.ls_1.gamma	BF16	[1536]
vision_model.transformer.resblocks.1.ls_2.gamma	BF16	[1536]
vision_model.transformer.resblocks.1.mlp.c_fc.bias	BF16	[8960]
vision_model.transformer.resblocks.1.mlp.c_fc.weight	BF16	[8960, 1536]
vision_model.transformer.resblocks.1.mlp.c_proj.bias	BF16	[1536]
vision_model.transformer.resblocks.1.mlp.c_proj.weight	BF16	[1536, 8960]
vision_model.transformer.resblocks.10.attn.in_proj_bias	BF16	[4608]
vision_model.transformer.resblocks.10.attn.in_proj_weight	BF16	[4608, 1536]
vision_model.transformer.resblocks.10.attn.out_proj.bias	BF16	[1536]
vision_model.transformer.resblocks.10.attn.out_proj.weight	BF16	[1536, 1536]
vision_model.transformer.resblocks.10.ln_1.bias	BF16	[1536]
vision_model.transformer.resblocks.10.ln_1.weight	BF16	[1536]
vision_model.transformer.resblocks.10.ln_2.bias	BF16	[1536]
vision_model.transformer.resblocks.10.ln_2.weight	BF16	[1536]
vision_model.transformer.resblocks.10.ls_1.gamma	BF16	[1536]
vision_model.transformer.resblocks.10.ls_2.gamma	BF16	[1536]
vision_model.transformer.resblocks.10.mlp.c_fc.bias	BF16	[8960]
vision_model.transformer.resblocks.10.mlp.c_fc.weight	BF16	[8960, 1536]
vision_model.transformer.resblocks.10.mlp.c_proj.bias	BF16	[1536]
vision_model.transformer.resblocks.10.mlp.c_proj.weight	BF16	[1536, 8960]
vision_model.transformer.resblocks.11.attn.in_proj_bias	BF16	[4608]
vision_model.transformer.resblocks.11.attn.in_proj_weight	BF16	[4608, 1536]
vision_model.transformer.resblocks.11.attn.out_proj.bias	BF16	[1536]
vision_model.transformer.resblocks.11.attn.out_proj.weight	BF16	[1536, 1536]
vision_model.transformer.resblocks.11.ln_1.bias	BF16	[1536]
vision_model.transformer.resblocks.11.ln_1.weight	BF16	[1536]
vision_model.transformer.resblocks.11.ln_2.bias	BF16	[1536]
vision_model.transformer.resblocks.11.ln_2.weight	BF16	[1536]
vision_model.transformer.resblocks.11.ls_1.gamma	BF16	[1536]
vision_model.transformer.resblocks.11.ls_2.gamma	BF16	[1536]
vision_model.transformer.resblocks.11.mlp.c_fc.bias	BF16	[8960]
vision_model.transformer.resblocks.11.mlp.c_fc.weight	BF16	[8960, 1536]
vision_model.transformer.resblocks.11.mlp.c_proj.bias	BF16	[1536]
vision_model.transformer.resblocks.11.mlp.c_proj.weight	BF16	[1536, 8960]
vision_model.transformer.resblocks.12.attn.in_proj_bias	BF16	[4608]
vision_model.transformer.resblocks.12.attn.in_proj_weight	BF16	[4608, 1536]
vision_model.transformer.resblocks.12.attn.out_proj.bias	BF16	[1536]
