timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/09/09 11:36:54.617, 36, 195 MHz, 3.86 W, 2 MiB
2026/09/09 11:36:54.873, 36, 195 MHz, 5.87 W, 508 MiB
2026/09/09 11:36:55.123, 36, 195 MHz, 5.87 W, 652 MiB
2026/09/09 11:36:55.373, 51, 2640 MHz, 93.14 W, 652 MiB
2026/09/09 11:36:55.623, 51, 2640 MHz, 93.14 W, 510 MiB
2026/09/09 11:36:55.874, 41, 2925 MHz, 238.30 W, 666 MiB
2026/09/09 11:36:56.124, 41, 2925 MHz, 238.30 W, 510 MiB
