timestamp, uuid, name, index, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/21 14:02:26.560, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0 MiB, 0 %, 35.09 W, 180 MHz, 31
2026/09/21 14:02:26.581, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 34.10 W, 180 MHz, 32
2026/09/21 14:02:26.595, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 0 MiB, 0 %, 34.69 W, 180 MHz, 32
2026/09/21 14:02:26.623, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 33.70 W, 180 MHz, 32
2026/09/21 14:02:26.888, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0 MiB, 0 %, 35.09 W, 180 MHz, 31
2026/09/21 14:02:26.888, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 34.56 W, 180 MHz, 32
2026/09/21 14:02:26.888, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 0 MiB, 0 %, 35.16 W, 180 MHz, 32
2026/09/21 14:02:26.888, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 34.13 W, 180 MHz, 32
2026/09/21 14:02:27.138, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 0 MiB, 0 %, 35.09 W, 180 MHz, 31
2026/09/21 14:02:27.138, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 34.56 W, 180 MHz, 32
2026/09/21 14:02:27.140, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 1 MiB, 0 %, 35.16 W, 180 MHz, 32
2026/09/21 14:02:27.140, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 35.19 W, 180 MHz, 32
2026/09/21 14:02:27.390, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 1 MiB, 0 %, 35.45 W, 180 MHz, 31
2026/09/21 14:02:27.390, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 36.10 W, 180 MHz, 32
2026/09/21 14:02:27.393, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 22 MiB, 0 %, 36.98 W, 180 MHz, 32
2026/09/21 14:02:27.393, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 1 MiB, 0 %, 35.34 W, 180 MHz, 32
2026/09/21 14:02:27.643, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 117 MiB, 0 %, 37.17 W, 352 MHz, 31
2026/09/21 14:02:27.643, GPU-9aac15ee-fcda-a1e3-367f-f9517f7376ff, NVIDIA RTX PRO 6000 Blackwell Server Edition, 1, 0 MiB, 0 %, 36.21 W, 180 MHz, 32
2026/09/21 14:02:27.643, GPU-0ef61756-6a47-f49f-7c77-4ea56a37dd41, NVIDIA RTX PRO 6000 Blackwell Server Edition, 2, 557 MiB, 0 %, 44.66 W, 1425 MHz, 33
2026/09/21 14:02:27.643, GPU-09f40640-fcd1-6793-8acf-5fef0a021ddf, NVIDIA RTX PRO 6000 Blackwell Server Edition, 3, 0 MiB, 0 %, 35.55 W, 180 MHz, 32
2026/09/21 14:02:27.895, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0, 629 MiB, 7 %, 49.30 W, 2362 MHz, 32
