timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], power.limit [W], temperature.gpu, memory.used [MiB], utilization.gpu [%]
2026/09/25 04:01:42.618, 0, P0, 1582 MHz, 14001 MHz, 31.51 W, [N/A], 66, 15 MiB, 0 %
2026/09/25 04:01:43.622, 0, P0, 1582 MHz, 14001 MHz, 30.56 W, [N/A], 66, 2713 MiB, 0 %
2026/09/25 04:01:44.623, 0, P0, 1612 MHz, 14001 MHz, 31.62 W, [N/A], 65, 6585 MiB, 11 %
2026/09/25 04:01:45.624, 0, P0, 1987 MHz, 14001 MHz, 73.58 W, [N/A], 77, 9753 MiB, 100 %
2026/09/25 04:01:46.625, 0, P0, 1897 MHz, 14001 MHz, 172.68 W, [N/A], 75, 9753 MiB, 100 %
2026/09/25 04:01:47.627, 0, P0, 1860 MHz, 14001 MHz, 172.48 W, [N/A], 75, 9753 MiB, 100 %
2026/09/25 04:01:48.629, 0, P0, 1942 MHz, 14001 MHz, 172.43 W, [N/A], 75, 9753 MiB, 99 %
2026/09/25 04:01:49.631, 0, P0, 2100 MHz, 14001 MHz, 171.45 W, [N/A], 76, 9753 MiB, 93 %
2026/09/25 04:01:50.633, 0, P0, 1987 MHz, 14001 MHz, 174.04 W, [N/A], 81, 9753 MiB, 100 %
2026/09/25 04:01:51.635, 0, P0, 2047 MHz, 14001 MHz, 172.14 W, [N/A], 77, 9753 MiB, 100 %
2026/09/25 04:01:52.637, 0, P0, 2077 MHz, 14001 MHz, 171.94 W, [N/A], 77, 9753 MiB, 100 %
2026/09/25 04:01:53.639, 0, P0, 2160 MHz, 14001 MHz, 171.25 W, [N/A], 78, 9753 MiB, 96 %
2026/09/25 04:01:54.640, 0, P0, 2010 MHz, 14001 MHz, 173.06 W, [N/A], 82, 9753 MiB, 100 %
2026/09/25 04:01:55.642, 0, P0, 2077 MHz, 14001 MHz, 172.15 W, [N/A], 78, 9753 MiB, 100 %
2026/09/25 04:01:56.644, 0, P0, 2092 MHz, 14001 MHz, 171.95 W, [N/A], 78, 9753 MiB, 100 %
2026/09/25 04:01:57.646, 0, P0, 2160 MHz, 14001 MHz, 171.26 W, [N/A], 79, 9753 MiB, 100 %
2026/09/25 04:01:58.656, 0, P0, 2040 MHz, 14001 MHz, 171.95 W, [N/A], 79, 9753 MiB, 100 %
2026/09/25 04:01:59.659, 0, P0, 2077 MHz, 14001 MHz, 172.18 W, [N/A], 79, 9753 MiB, 100 %
2026/09/25 04:02:00.660, 0, P0, 1582 MHz, 14001 MHz, 79.40 W, [N/A], 71, 15 MiB, 0 %
2026/09/25 04:02:01.661, 0, P0, 1597 MHz, 14001 MHz, 31.82 W, [N/A], 70, 1529 MiB, 31 %
2026/09/25 04:02:02.662, 0, P0, 1612 MHz, 14001 MHz, 35.54 W, [N/A], 72, 6585 MiB, 40 %
2026/09/25 04:02:03.663, 0, P0, 2137 MHz, 14001 MHz, 108.67 W, [N/A], 83, 9753 MiB, 100 %
2026/09/25 04:02:04.665, 0, P0, 1957 MHz, 14001 MHz, 162.45 W, [N/A], 80, 9753 MiB, 97 %
2026/09/25 04:02:05.668, 0, P0, 2092 MHz, 14001 MHz, 171.71 W, [N/A], 79, 9753 MiB, 100 %
2026/09/25 04:02:06.672, 0, P0, 2055 MHz, 14001 MHz, 171.54 W, [N/A], 79, 9753 MiB, 100 %
2026/09/25 04:02:07.673, 0, P0, 2107 MHz, 14001 MHz, 172.88 W, [N/A], 84, 9753 MiB, 100 %
2026/09/25 04:02:08.674, 0, P0, 1980 MHz, 14001 MHz, 171.15 W, [N/A], 81, 9753 MiB, 99 %
2026/09/25 04:02:09.676, 0, P0, 2047 MHz, 14001 MHz, 172.49 W, [N/A], 80, 9753 MiB, 100 %
2026/09/25 04:02:10.678, 0, P0, 2025 MHz, 14001 MHz, 172.03 W, [N/A], 80, 9753 MiB, 100 %
2026/09/25 04:02:11.680, 0, P0, 2145 MHz, 14001 MHz, 171.93 W, [N/A], 81, 9753 MiB, 100 %
2026/09/25 04:02:12.682, 0, P0, 2047 MHz, 14001 MHz, 172.04 W, [N/A], 81, 9753 MiB, 100 %
2026/09/25 04:02:13.684, 0, P0, 2047 MHz, 14001 MHz, 172.01 W, [N/A], 81, 9753 MiB, 100 %
2026/09/25 04:02:14.686, 0, P0, 2107 MHz, 14001 MHz, 172.38 W, [N/A], 85, 9753 MiB, 100 %
2026/09/25 04:02:15.687, 0, P0, 2002 MHz, 14001 MHz, 171.37 W, [N/A], 82, 9753 MiB, 100 %
2026/09/25 04:02:16.689, 0, P0, 2047 MHz, 14001 MHz, 172.14 W, [N/A], 81, 9753 MiB, 100 %
2026/09/25 04:02:17.691, 0, P0, 2040 MHz, 14001 MHz, 172.11 W, [N/A], 82, 9753 MiB, 100 %
2026/09/25 04:02:18.693, 0, P0, 2145 MHz, 14001 MHz, 171.67 W, [N/A], 82, 9753 MiB, 100 %
2026/09/25 04:02:19.695, 0, P0, 2047 MHz, 14001 MHz, 172.06 W, [N/A], 82, 9753 MiB, 100 %
2026/09/25 04:02:20.697, 0, P0, 2025 MHz, 14001 MHz, 172.02 W, [N/A], 82, 9753 MiB, 100 %
2026/09/25 04:02:21.699, 0, P0, 2100 MHz, 14001 MHz, 172.39 W, [N/A], 86, 9753 MiB, 100 %
2026/09/25 04:02:22.700, 0, P0, 1972 MHz, 14001 MHz, 171.36 W, [N/A], 83, 9753 MiB, 100 %
2026/09/25 04:02:23.702, 0, P0, 2025 MHz, 14001 MHz, 172.09 W, [N/A], 83, 9753 MiB, 100 %
2026/09/25 04:02:24.705, 0, P0, 2017 MHz, 14001 MHz, 171.83 W, [N/A], 83, 9753 MiB, 100 %
2026/09/25 04:02:25.708, 0, P0, 2152 MHz, 14001 MHz, 171.66 W, [N/A], 83, 9753 MiB, 100 %
2026/09/25 04:02:26.710, 0, P0, 2017 MHz, 14001 MHz, 171.92 W, [N/A], 83, 9753 MiB, 100 %
2026/09/25 04:02:27.712, 0, P0, 2017 MHz, 14001 MHz, 171.95 W, [N/A], 83, 9753 MiB, 100 %
2026/09/25 04:02:28.713, 0, P0, 2107 MHz, 14001 MHz, 172.36 W, [N/A], 87, 9753 MiB, 100 %
2026/09/25 04:02:29.715, 0, P0, 1890 MHz, 14001 MHz, 159.11 W, [N/A], 84, 9753 MiB, 99 %
2026/09/25 04:02:30.716, 0, P0, 1927 MHz, 14001 MHz, 172.71 W, [N/A], 83, 9753 MiB, 99 %
2026/09/25 04:02:31.718, 0, P0, 1957 MHz, 14001 MHz, 171.60 W, [N/A], 83, 9753 MiB, 100 %
2026/09/25 04:02:32.720, 0, P0, 2100 MHz, 14001 MHz, 171.30 W, [N/A], 84, 9753 MiB, 100 %
2026/09/25 04:02:33.723, 0, P0, 1980 MHz, 14001 MHz, 172.02 W, [N/A], 84, 9753 MiB, 99 %
2026/09/25 04:02:34.725, 0, P0, 1987 MHz, 14001 MHz, 172.03 W, [N/A], 84, 9753 MiB, 100 %
2026/09/25 04:02:35.727, 0, P0, 2115 MHz, 14001 MHz, 172.54 W, [N/A], 88, 9753 MiB, 100 %
2026/09/25 04:02:36.728, 0, P0, 1837 MHz, 14001 MHz, 152.36 W, [N/A], 86, 9753 MiB, 100 %
2026/09/25 04:02:37.730, 0, P0, 2137 MHz, 14001 MHz, 171.47 W, [N/A], 84, 9753 MiB, 99 %
2026/09/25 04:02:38.732, 0, P0, 2107 MHz, 14001 MHz, 170.62 W, [N/A], 84, 9753 MiB, 100 %
2026/09/25 04:02:39.734, 0, P0, 2152 MHz, 14001 MHz, 171.50 W, [N/A], 87, 9753 MiB, 93 %
2026/09/25 04:02:40.735, 0, P0, 1875 MHz, 14001 MHz, 155.45 W, [N/A], 86, 9753 MiB, 100 %
2026/09/25 04:02:41.736, 0, P0, 2160 MHz, 14001 MHz, 165.69 W, [N/A], 85, 9753 MiB, 100 %
2026/09/25 04:02:42.738, 0, P0, 2152 MHz, 14001 MHz, 170.88 W, [N/A], 85, 9753 MiB, 100 %
2026/09/25 04:02:43.740, 0, P0, 2115 MHz, 14001 MHz, 170.75 W, [N/A], 85, 9753 MiB, 99 %
2026/09/25 04:02:44.742, 0, P0, 2070 MHz, 14001 MHz, 172.56 W, [N/A], 85, 9753 MiB, 99 %
2026/09/25 04:02:45.745, 0, P0, 2062 MHz, 14001 MHz, 171.95 W, [N/A], 85, 9753 MiB, 99 %
2026/09/25 04:02:46.748, 0, P0, 2055 MHz, 14001 MHz, 171.21 W, [N/A], 85, 9753 MiB, 100 %
2026/09/25 04:02:47.749, 0, P0, 1755 MHz, 14001 MHz, 149.94 W, [N/A], 86, 9753 MiB, 100 %
2026/09/25 04:02:48.750, 0, P0, 1987 MHz, 14001 MHz, 153.89 W, [N/A], 85, 9753 MiB, 100 %
2026/09/25 04:02:49.753, 0, P0, 1950 MHz, 14001 MHz, 171.78 W, [N/A], 85, 9753 MiB, 99 %
2026/09/25 04:02:50.754, 0, P0, 1957 MHz, 14001 MHz, 171.75 W, [N/A], 85, 9753 MiB, 99 %
2026/09/25 04:02:51.756, 0, P0, 2062 MHz, 14001 MHz, 171.57 W, [N/A], 85, 9753 MiB, 100 %
2026/09/25 04:02:52.758, 0, P0, 1995 MHz, 14001 MHz, 171.42 W, [N/A], 85, 9753 MiB, 99 %
2026/09/25 04:02:53.761, 0, P0, 1995 MHz, 14001 MHz, 171.95 W, [N/A], 85, 9753 MiB, 100 %
2026/09/25 04:02:54.763, 0, P0, 1695 MHz, 14001 MHz, 148.69 W, [N/A], 86, 9753 MiB, 100 %
2026/09/25 04:02:55.764, 0, P0, 1882 MHz, 14001 MHz, 140.29 W, [N/A], 85, 9753 MiB, 100 %
2026/09/25 04:02:56.766, 0, P0, 2055 MHz, 14001 MHz, 171.40 W, [N/A], 86, 9753 MiB, 99 %
2026/09/25 04:02:57.768, 0, P0, 2040 MHz, 14001 MHz, 171.60 W, [N/A], 86, 9753 MiB, 100 %
2026/09/25 04:02:58.770, 0, P0, 2152 MHz, 14001 MHz, 171.78 W, [N/A], 86, 9753 MiB, 100 %
2026/09/25 04:02:59.772, 0, P0, 2025 MHz, 14001 MHz, 171.74 W, [N/A], 86, 9753 MiB, 99 %
2026/09/25 04:03:00.774, 0, P0, 2010 MHz, 14001 MHz, 171.62 W, [N/A], 86, 9753 MiB, 99 %
2026/09/25 04:03:01.776, 0, P0, 1785 MHz, 14001 MHz, 156.66 W, [N/A], 87, 9753 MiB, 100 %
2026/09/25 04:03:02.778, 0, P0, 1897 MHz, 14001 MHz, 134.64 W, [N/A], 85, 9753 MiB, 100 %
2026/09/25 04:03:03.780, 0, P0, 2062 MHz, 14001 MHz, 168.41 W, [N/A], 86, 9753 MiB, 99 %
