-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        4.538s       177.57%        4.538s       5.925ms           766  
sm89_xmma_gemm_e4m3bf16_e4m3f32_f32_tn_n_tilesize32x...         0.00%       0.000us         0.00%       0.000us       0.000us     528.297ms        20.67%     528.297ms      17.242us         30640  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     381.052ms        14.91%     381.052ms      24.873us         15320  
void marlin::Marlin<1125899906909960l, 5629499534871...         0.00%       0.000us         0.00%       0.000us       0.000us     245.328ms         9.60%     245.328ms       8.007us         30640  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     195.463ms         7.65%     195.463ms      12.759us         15320  
triton_red_fused__to_copy_add_clamp_fused_add_rms_no...         0.00%       0.000us         0.00%       0.000us       0.000us     177.518ms         6.95%     177.518ms      23.114us          7680  
void vllm::moe::moe_sum_vec_kernel<c10::BFloat16, in...         0.00%       0.000us         0.00%       0.000us       0.000us     118.002ms         4.62%     118.002ms       7.682us         15360  
void dot_kernel<float, 128, 0, cublasDotParams<cubla...         0.00%       0.000us         0.00%       0.000us       0.000us      80.281ms         3.14%      80.281ms       5.240us         15320  
                                        _C::marlin_gemm         0.43%      10.275ms         0.97%      23.325ms      60.742us      70.307ms         2.75%      70.307ms     183.091us           384  
void marlin::Marlin<1125899906909960l, 5629499534871...         0.00%       0.000us         0.00%       0.000us       0.000us      70.307ms         2.75%      70.307ms     183.091us           384  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      65.614ms         2.57%      65.614ms       2.444us         26850  
                                         aten::_softmax         0.21%       5.038ms         0.35%       8.438ms      10.987us      57.433ms         2.25%      57.433ms      74.782us           768  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      57.433ms         2.25%      57.433ms      74.782us           768  
void vllm::moe::topkGating<8, 256, 4, 16, 32, int, _...         0.00%       0.000us         0.00%       0.000us       0.000us      54.237ms         2.12%      54.237ms       3.531us         15360  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      53.649ms         2.10%      53.649ms       4.669us         11490  
                 execute_context_1(480)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      42.448ms         1.66%      42.448ms      42.448ms             1  
