0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 34, 180 MHz, 49.03 W
1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 35, 180 MHz, 47.97 W
