Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
27092965,608,467604,,,,,,,,,,0.000,6.579,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27098597,256,467606,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27100581,256,467608,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27105829,288,467610,,,,,,,,,,0.000,13.889,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27108837,256,467612,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27111461,256,467614,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27114309,256,467616,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27117093,288,467618,,,,,,,,,,0.000,13.889,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27120165,256,467620,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27122085,256,467622,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27124901,256,467624,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27126853,256,467626,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27130116,256,467628,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27132036,256,467630,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27135044,256,467632,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27137092,224,467634,,,,,,,,,,0.000,17.857,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27153412,256,467638,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27343043,288,467642,,,,,,,,,,0.000,13.889,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27351331,288,467646,,,,,,,,,,0.000,13.889,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27354787,224,467650,,,,,,,,,,0.000,17.857,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Host-to-Device]
27416322,640,467654,,,,,,,,,,0.000,6.250,Device,Pageable,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Host]
27465698,800,467660,,,,,,,,,,0.123,153600.000,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27476546,1216,467662,,,,,,,,,,0.123,101052.580,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27481730,1344,467666,,,,,,,,,,3.146,2340569.481,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27486626,3584,467668,,,,,,,,,,3.146,877711.589,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27490786,736,467672,,,,,,,,,,0.123,166956.442,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27494913,1184,467674,,,,,,,,,,0.123,103783.711,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27499649,1312,467678,,,,,,,,,,3.146,2397658.153,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27502849,3296,467680,,,,,,,,,,3.146,954407.584,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27507009,736,467684,,,,,,,,,,0.123,166956.442,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27510241,1056,467686,,,,,,,,,,0.123,116363.551,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27516897,1376,467690,,,,,,,,,,3.146,2286138.950,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27519873,3392,467692,,,,,,,,,,3.146,927395.217,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27524897,768,467696,,,,,,,,,,0.123,159999.959,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27528129,1056,467698,,,,,,,,,,0.123,116363.551,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27533185,1280,467702,,,,,,,,,,3.146,2457600.000,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27536097,3456,467704,,,,,,,,,,3.146,910219.543,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27540257,736,467708,,,,,,,,,,0.123,166956.442,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27543297,1056,467710,,,,,,,,,,0.123,116363.551,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27547841,1376,467714,,,,,,,,,,3.146,2286138.950,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27550753,3200,467716,,,,,,,,,,3.146,983040.000,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27554689,736,467720,,,,,,,,,,0.123,166956.442,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27557441,1120,467722,,,,,,,,,,0.123,109714.268,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27561153,1280,467726,,,,,,,,,,3.146,2457600.000,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27565569,2848,467728,,,,,,,,,,3.146,1104537.453,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27569089,768,467732,,,,,,,,,,0.123,159999.959,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27572257,1024,467734,,,,,,,,,,0.123,119999.939,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27575745,1280,467738,,,,,,,,,,3.146,2457600.000,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27579329,3104,467740,,,,,,,,,,3.146,1013440.315,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27583169,736,467744,,,,,,,,,,0.123,166956.442,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27586241,1120,467746,,,,,,,,,,0.123,109714.268,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27590017,1344,467750,,,,,,,,,,3.146,2340569.481,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27593537,3392,467752,,,,,,,,,,3.146,927395.217,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27597441,736,467756,,,,,,,,,,0.123,166956.442,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27600545,1024,467758,,,,,,,,,,0.123,119999.939,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27604225,1312,467762,,,,,,,,,,3.146,2397658.153,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27607713,2912,467764,,,,,,,,,,3.146,1080261.870,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27611681,768,467768,,,,,,,,,,0.123,159999.959,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27614816,1056,467770,,,,,,,,,,0.123,116363.551,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27619744,1280,467774,,,,,,,,,,3.146,2457600.000,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27622848,2848,467776,,,,,,,,,,3.146,1104537.453,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
27628128,736,467780,,,,,,,,,,0.123,166956.442,Device,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memset]
27631168,1152,467782,,,,,,,,,,0.123,106666.598,Device,Device,NVIDIA RTX PRO 6000 Blackwell Workstation Edition (0),1,,13,[CUDA memcpy Device-to-Device]
