timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/19 21:56:24.130, 0, P8, 195 MHz, 405 MHz, 13.84 W, 25, 2 MiB, 0 %, 1, 16
2026/09/19 21:56:24.394, 0, P8, 195 MHz, 405 MHz, 14.32 W, 25, 2 MiB, 0 %, 1, 16
2026/09/19 21:56:24.644, 0, P8, 195 MHz, 405 MHz, 14.32 W, 25, 21 MiB, 0 %, 1, 16
2026/09/19 21:56:24.934, 0, P1, 1942 MHz, 13801 MHz, 22.15 W, 26, 576 MiB, 1 %, 5, 16
2026/09/19 21:56:25.184, 0, P1, 1942 MHz, 13801 MHz, 22.15 W, 26, 608 MiB, 1 %, 5, 16
2026/09/19 21:56:25.434, 0, P1, 2692 MHz, 13801 MHz, 34.82 W, 27, 718 MiB, 28 %, 5, 16
2026/09/19 21:56:25.685, 0, P1, 2692 MHz, 13801 MHz, 34.82 W, 27, 718 MiB, 28 %, 5, 16
2026/09/19 21:56:25.935, 0, P1, 2955 MHz, 13801 MHz, 90.74 W, 28, 718 MiB, 38 %, 5, 16
2026/09/19 21:56:26.186, 0, P1, 2955 MHz, 13801 MHz, 90.74 W, 28, 718 MiB, 38 %, 5, 16
2026/09/19 21:56:26.436, 0, P1, 2955 MHz, 13801 MHz, 109.25 W, 29, 718 MiB, 50 %, 5, 16
2026/09/19 21:56:26.687, 0, P1, 2955 MHz, 13801 MHz, 109.25 W, 29, 718 MiB, 50 %, 5, 16
2026/09/19 21:56:26.937, 0, P1, 2955 MHz, 13801 MHz, 109.29 W, 29, 718 MiB, 50 %, 5, 16
2026/09/19 21:56:27.187, 0, P1, 2955 MHz, 13801 MHz, 109.29 W, 29, 718 MiB, 50 %, 5, 16
2026/09/19 21:56:27.438, 0, P1, 2955 MHz, 13801 MHz, 109.51 W, 29, 718 MiB, 43 %, 5, 16
2026/09/19 21:56:27.688, 0, P1, 2955 MHz, 13801 MHz, 109.51 W, 29, 718 MiB, 43 %, 5, 16
2026/09/19 21:56:27.939, 0, P1, 2955 MHz, 13801 MHz, 109.74 W, 29, 718 MiB, 43 %, 5, 16
2026/09/19 21:56:28.189, 0, P1, 2955 MHz, 13801 MHz, 109.74 W, 29, 718 MiB, 43 %, 5, 16
2026/09/19 21:56:28.440, 0, P1, 2955 MHz, 13801 MHz, 109.85 W, 29, 718 MiB, 44 %, 5, 16
2026/09/19 21:56:28.690, 0, P1, 2955 MHz, 13801 MHz, 109.85 W, 29, 718 MiB, 44 %, 5, 16
2026/09/19 21:56:28.941, 0, P1, 2955 MHz, 13801 MHz, 109.81 W, 29, 718 MiB, 44 %, 5, 16
2026/09/19 21:56:29.191, 0, P1, 2955 MHz, 13801 MHz, 109.81 W, 29, 718 MiB, 44 %, 5, 16
2026/09/19 21:56:29.441, 0, P1, 2955 MHz, 13801 MHz, 108.36 W, 29, 750 MiB, 6 %, 5, 16
2026/09/19 21:56:29.692, 0, P1, 2955 MHz, 13801 MHz, 108.36 W, 29, 750 MiB, 6 %, 5, 16
