2026/08/13 02:14:29.288, P0, 62, 990, 100.66, 153, 100
2026/08/13 02:14:29.397, P0, 59, 1192, 81.78, 167, 13
2026/08/13 02:14:29.498, P0, 59, 1192, 81.78, 446, 13
2026/08/13 02:14:29.599, P0, 59, 1192, 81.78, 448, 13
2026/08/13 02:14:29.699, P0, 59, 1192, 81.78, 448, 13
2026/08/13 02:14:29.799, P0, 59, 1192, 81.78, 448, 13
2026/08/13 02:14:29.899, P0, 59, 1192, 42.97, 1312, 0
2026/08/13 02:14:29.999, P0, 59, 1192, 42.97, 1536, 0
2026/08/13 02:14:30.099, P0, 59, 1192, 42.97, 1824, 0
2026/08/13 02:14:30.200, P0, 59, 1192, 42.97, 2080, 0
2026/08/13 02:14:30.300, P0, 59, 1192, 42.97, 2336, 0
2026/08/13 02:14:30.400, P0, 58, 1192, 27.52, 2592, 12
2026/08/13 02:14:30.500, P0, 58, 1192, 27.52, 2848, 12
2026/08/13 02:14:30.600, P0, 58, 1192, 27.52, 3136, 12
2026/08/13 02:14:30.701, P0, 58, 1192, 27.52, 3456, 12
2026/08/13 02:14:30.801, P0, 58, 1192, 27.52, 3712, 12
2026/08/13 02:14:30.901, P0, 58, 1192, 27.49, 4032, 10
2026/08/13 02:14:31.001, P0, 58, 1192, 27.49, 4256, 10
2026/08/13 02:14:31.101, P0, 58, 1192, 27.49, 4512, 10
2026/08/13 02:14:31.201, P0, 58, 1192, 27.49, 4832, 10
2026/08/13 02:14:31.302, P0, 58, 1192, 27.49, 5088, 10
2026/08/13 02:14:31.402, P0, 58, 1200, 27.50, 5376, 12
2026/08/13 02:14:31.502, P0, 58, 1200, 27.50, 5664, 12
2026/08/13 02:14:31.602, P0, 58, 1200, 27.50, 5952, 12
2026/08/13 02:14:31.703, P0, 58, 1200, 27.50, 6208, 12
2026/08/13 02:14:31.803, P0, 58, 1200, 27.50, 6528, 12
2026/08/13 02:14:31.903, P0, 58, 1192, 27.49, 6784, 11
2026/08/13 02:14:32.003, P0, 58, 1192, 27.49, 7040, 11
2026/08/13 02:14:32.104, P0, 58, 1192, 27.49, 7296, 11
2026/08/13 02:14:32.204, P0, 58, 1192, 27.49, 7584, 11
2026/08/13 02:14:32.304, P0, 58, 1192, 27.49, 7840, 11
2026/08/13 02:14:32.404, P0, 58, 1200, 27.40, 8160, 10
2026/08/13 02:14:32.504, P0, 58, 1200, 27.40, 8416, 10
2026/08/13 02:14:32.605, P0, 58, 1200, 27.40, 8672, 10
2026/08/13 02:14:32.705, P0, 58, 1200, 27.40, 8960, 10
2026/08/13 02:14:32.805, P0, 58, 1200, 27.40, 9216, 10
2026/08/13 02:14:32.905, P0, 58, 1200, 27.35, 9536, 10
2026/08/13 02:14:33.005, P0, 58, 1200, 27.35, 9824, 10
2026/08/13 02:14:33.106, P0, 58, 1200, 27.35, 10080, 10
2026/08/13 02:14:33.206, P0, 58, 1200, 27.35, 10400, 10
2026/08/13 02:14:33.306, P0, 58, 1200, 27.35, 10656, 10
2026/08/13 02:14:33.406, P0, 58, 1192, 27.38, 10944, 10
2026/08/13 02:14:33.507, P0, 58, 1192, 27.38, 11200, 10
2026/08/13 02:14:33.607, P0, 58, 1192, 27.38, 11552, 10
2026/08/13 02:14:33.707, P0, 58, 1192, 27.38, 11776, 10
2026/08/13 02:14:33.807, P0, 58, 1192, 27.38, 12032, 10
2026/08/13 02:14:33.908, P0, 58, 1192, 27.35, 12352, 9
2026/08/13 02:14:34.008, P0, 58, 1192, 27.35, 12640, 9
2026/08/13 02:14:34.108, P0, 58, 1192, 27.35, 12896, 9
2026/08/13 02:14:34.208, P0, 58, 1192, 27.35, 13216, 9
2026/08/13 02:14:34.308, P0, 58, 1192, 27.35, 13472, 9
2026/08/13 02:14:34.409, P0, 57, 1200, 27.30, 13696, 10
2026/08/13 02:14:34.509, P0, 57, 1200, 27.30, 14080, 10
2026/08/13 02:14:34.609, P0, 57, 1200, 27.30, 14336, 10
2026/08/13 02:14:34.709, P0, 57, 1200, 27.30, 14592, 10
2026/08/13 02:14:34.810, P0, 57, 1200, 27.30, 14592, 10
2026/08/13 02:14:34.910, P0, 57, 1200, 27.23, 14592, 8
2026/08/13 02:14:35.010, P0, 57, 1200, 27.23, 14592, 8
2026/08/13 02:14:35.110, P0, 57, 1200, 27.23, 15712, 8
2026/08/13 02:14:35.210, P0, 57, 1200, 27.23, 15776, 8
2026/08/13 02:14:35.311, P0, 57, 1200, 27.23, 15776, 8
2026/08/13 02:14:35.411, P0, 60, 1185, 31.50, 15904, 91
2026/08/13 02:14:35.511, P0, 60, 1185, 31.50, 19520, 91
2026/08/13 02:14:35.611, P0, 60, 1185, 31.50, 19520, 91
2026/08/13 02:14:35.711, P0, 60, 1185, 31.50, 19520, 91
2026/08/13 02:14:35.811, P0, 60, 1185, 31.50, 19520, 91
2026/08/13 02:14:35.911, P0, 62, 1155, 58.56, 19520, 100
2026/08/13 02:14:36.012, P0, 62, 1155, 58.56, 19520, 100
2026/08/13 02:14:36.112, P0, 62, 1155, 58.56, 19520, 100
2026/08/13 02:14:36.212, P0, 62, 1155, 58.56, 19520, 100
2026/08/13 02:14:36.312, P0, 62, 1155, 58.56, 19520, 100
2026/08/13 02:14:36.412, P0, 63, 1155, 84.35, 19520, 100
2026/08/13 02:14:36.512, P0, 63, 1155, 84.35, 19520, 100
2026/08/13 02:14:36.613, P0, 63, 1155, 84.35, 19520, 100
2026/08/13 02:14:36.713, P0, 63, 1155, 84.35, 19520, 100
2026/08/13 02:14:36.813, P0, 63, 1155, 84.35, 19520, 100
2026/08/13 02:14:36.913, P0, 63, 1162, 89.41, 19520, 100
2026/08/13 02:14:37.013, P0, 63, 1162, 89.41, 19520, 100
2026/08/13 02:14:37.113, P0, 63, 1162, 89.41, 19520, 100
2026/08/13 02:14:37.214, P0, 63, 1162, 89.41, 19520, 100
2026/08/13 02:14:37.314, P0, 63, 1162, 89.41, 19520, 100
