# ollama.com/library?sort=popular, fetched 2026-08-01 (all-time pulls)
llama3.1                        118M pulls | updated 1 year ago
deepseek-r1                    90.8M pulls | updated 1 year ago
nomic-embed-text               80.5M pulls | updated 2 years ago
llama3.2                       78.6M pulls | updated 1 year ago
gemma3                         39.1M pulls | updated 11 months ago
qwen2.5                        35.8M pulls | updated 1 year ago
qwen3                          33.1M pulls | updated 9 months ago
mistral                        31.5M pulls | updated 1 year ago
gemma2                         29.1M pulls | updated 1 year ago
llama3                         24.9M pulls | updated 2 years ago
gemma4                         20.2M pulls | updated 1 month ago
qwen2.5-coder                  19.8M pulls | updated 1 year ago
phi3                             18M pulls | updated 2 years ago
qwen3.5                        16.7M pulls | updated 2 months ago
llava                          14.4M pulls | updated 2 years ago
mxbai-embed-large              13.1M pulls | updated 2 years ago
gpt-oss                        11.3M pulls | updated 9 months ago
qwen3-coder                     7.8M pulls | updated 10 months ago
phi4                            7.6M pulls | updated 1 year ago
qwen                            7.4M pulls | updated 2 years ago
llama2                          7.3M pulls | updated 2 years ago
gemma                           7.3M pulls | updated 2 years ago
glm-ocr                         6.2M pulls | updated 5 months ago
qwen2                           6.1M pulls | updated 1 year ago
codellama                       5.9M pulls | updated 2 years ago
mistral-nemo                    5.6M pulls | updated 1 year ago
bge-m3                          5.5M pulls | updated 1 year ago
minicpm-v                       5.4M pulls | updated 1 year ago
tinyllama                       5.3M pulls | updated 2 years ago
qwen3.6                         4.9M pulls | updated 2 months ago
llama3.2-vision                 4.9M pulls | updated 1 year ago
qwen3-vl                        4.9M pulls | updated 9 months ago
deepseek-coder                  4.5M pulls | updated 2 years ago
llama3.3                        4.1M pulls | updated 1 year ago
dolphin3                          4M pulls | updated 1 year ago
smollm2                         3.9M pulls | updated 1 year ago
deepseek-v3                     3.8M pulls | updated 1 year ago
olmo2                           3.7M pulls | updated 1 year ago
qwen2.5vl                       3.7M pulls | updated 1 year ago
qwen3-embedding                 3.3M pulls | updated 10 months ago
all-minilm                      3.3M pulls | updated 2 years ago
snowflake-arctic-embed          3.1M pulls | updated 2 years ago
codegemma                       3.1M pulls | updated 2 years ago
mistral-small                   3.1M pulls | updated 1 year ago
granite3.1-moe                    3M pulls | updated 1 year ago
orca-mini                         3M pulls | updated 2 years ago
