epoch_ms,temp_c,power_w,sm_mhz,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,cuda_pool_cached_bytes,active_sessions,prefix_cache_bytes,kv_vmm_mapped_bytes,kv_vmm_reserved_bytes,kv_vmm_owed_bytes,kv_vmm_graveyard_bytes,kv_vmm_grows_total,kv_vmm_mapper_grows_total,kv_vmm_grow_waits_total
1790275626306,72,569.41,2730,18166,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275626556,67,470.47,2805,18166,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275626806,67,470.47,2805,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275627056,76,423.08,2730,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275627306,79,423.08,2730,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275627556,79,423.08,2730,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275627806,79,423.08,2730,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275628056,80,554.14,2677,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275628306,80,554.14,2677,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275628556,80,568.15,2677,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275628806,80,568.15,2677,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275629056,80,568.79,2677,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275629306,80,568.79,2677,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275629556,81,569.12,2677,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275629806,81,569.12,2677,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275630056,81,569.75,2670,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275630306,81,569.75,2670,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275630556,81,570.69,2670,23684,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275630806,81,570.69,2670,24196,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275631056,80,570.69,2670,24548,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275631306,80,570.69,2670,25252,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275631556,80,524.42,2655,25572,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275631806,80,524.42,2655,26212,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275632056,80,512.37,2677,26628,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275632306,80,512.37,2677,27300,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275632556,80,526.69,2692,28068,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275632806,80,526.69,2692,28068,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275633056,75,482.10,2752,28484,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275633306,75,482.10,2752,28484,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275633556,77,429.01,2805,28580,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275633806,77,444.32,2805,28580,0,0,0,0,0,0,0,0,0,0,0,0,0
1790275634056,77,444.32,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275634306,77,444.32,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275634556,77,468.85,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275634806,77,468.85,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275635056,77,468.95,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275635306,77,468.95,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275635556,77,468.86,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275635806,77,468.86,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275636056,77,469.03,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275636306,77,469.03,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275636556,77,469.35,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275636806,77,469.35,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275637056,77,469.45,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275637306,77,469.45,2805,28580,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275637556,78,469.69,2805,28614,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275637806,78,469.69,2805,28614,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275638056,78,469.96,2805,28614,72006041600,28958590080,29058138112,99548032,16,3216343040,285212672,855638016,570425344,0,136,0,0
1790275638306,78,469.96,2805,28614,71970390016,28958590080,29058138112,99548032,16,3216343040,320864256,855638016,534773760,0,153,0,0
1790275638556,78,470.27,2805,28614,71970390016,28958590080,29058138112,99548032,16,3216343040,320864256,855638016,534773760,0,153,0,0
1790275638806,78,470.27,2805,28614,71970390016,28958590080,29058138112,99548032,16,3216343040,320864256,855638016,534773760,0,153,0,0
1790275639056,78,470.94,2805,28614,71970390016,28958590080,29058138112,99548032,16,3216343040,320864256,855638016,534773760,0,153,0,0
1790275639306,78,470.94,2805,28614,71970390016,28958590080,29058138112,99548032,16,3216343040,320864256,855638016,534773760,0,153,0,0
1790275639556,78,470.89,2805,28614,71970390016,28958590080,29058138112,99548032,16,3216343040,320864256,855638016,534773760,0,153,0,0
1790275639806,78,470.89,2805,28648,71970390016,28958590080,29058138112,99548032,16,3216343040,320864256,855638016,534773760,0,153,0,0
1790275640056,78,470.80,2805,28648,71970390016,28958590080,29058138112,99548032,16,3216343040,320864256,855638016,534773760,0,153,0,0
1790275640306,78,470.80,2805,28648,71970390016,28958590080,29058138112,99548032,16,3216343040,320864256,855638016,534773760,0,153,0,0
1790275640556,78,470.80,2805,28648,71934738432,28958590080,29058138112,99548032,16,3216343040,356515840,855638016,499122176,0,170,0,0
1790275640806,78,470.80,2805,28682,71934738432,28958590080,29058138112,99548032,16,3216343040,356515840,855638016,499122176,0,170,0,0
1790275641056,78,471.55,2805,28682,71934738432,28958590080,29058138112,99548032,16,3216343040,356515840,855638016,499122176,0,170,0,0
1790275641306,78,471.55,2805,28682,71934738432,28958590080,29058138112,99548032,16,3216343040,356515840,855638016,499122176,0,170,0,0
1790275641556,78,471.52,2797,28682,71934738432,28958590080,29058138112,99548032,16,3216343040,356515840,855638016,499122176,0,170,0,0
1790275641806,78,471.52,2797,29010,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275642056,81,470.96,2760,29010,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275642306,81,470.96,2760,29010,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275642556,83,517.03,2662,29010,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275642806,83,517.03,2662,29010,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275643056,83,563.34,2662,29010,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275643306,83,563.34,2662,29010,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275643556,84,574.32,2662,29010,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275643806,84,574.32,2662,29010,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275644056,84,573.96,2677,29362,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
1790275644306,84,573.96,2677,30066,71899086848,25827564616,29058138112,3230573496,8,3216343040,392167424,855638016,463470592,0,187,0,0
