0, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 46673 MiB, 25, P8, 180 MHz, 13.24 W
1, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 56789 MiB, 24, P8, 180 MHz, 10.61 W
