0, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 46385 MiB, 29, P8, 180 MHz, 14.63 W
1, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 56467 MiB, 28, P8, 180 MHz, 12.21 W
