0, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 46673 MiB, 28, P1, 2175 MHz, 147.21 W
1, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 56789 MiB, 28, P1, 2220 MHz, 158.16 W
