0, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 46449 MiB, 27, P8, 180 MHz, 14.24 W
1, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 56531 MiB, 26, P8, 180 MHz, 11.38 W
