0, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 46673 MiB, 32, P1, 2242 MHz, 173.10 W
1, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 56789 MiB, 35, P1, 1582 MHz, 249.35 W
