0, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 46673 MiB, 28, P8, 180 MHz, 14.25 W
1, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 56789 MiB, 27, P8, 180 MHz, 12.23 W
