# sel_shape_probe (SYNTHETIC banks, no checkpoint — latency only, no oracle)
# geometry experts=512 hidden=2560 ff=640 selected=10 t=6 reps=25 slots=60
# pairs: gate+up in_f=2560 -> 80 (32-lane loop: 83.3% occupancy); down in_f=640 -> 20 (62.5% occupancy)
# per-expert bytes gate+up=1843200 down=921600 (chunk gate+up working set 105.5 MiB)
arm	t	slots	gu_shape	gu_gridx	dn_shape	dn_gridx	gu_us	down_us	section_us	gu_spread	dn_spread	section_vs_off	section_vs_ctl	gu_vs_ctl	dn_vs_ctl
off	6	60	shipped	160	shipped	640	240.4	151.9	392.3	18.8%	23.6%	1.0000	0.9799	0.9788	0.9815
dn:32:4+gu:32:4	6	60	g32r4/rpw4	160	g32r4/rpw4	640	235.3	149.1	384.4	15.8%	19.0%	1.0206	1.0000	1.0000	1.0000
auto	6	60	g16r4/rpw8	80	g4r4/rpw32	80	216.7	110.3	327.0	14.9%	20.1%	1.1996	1.1755	1.0858	1.3516
dn:4:4+gu:off	6	60	shipped	160	g4r4/rpw32	80	245.9	111.9	357.8	14.0%	19.0%	1.0963	1.0742	0.9568	1.3322
dn:off+gu:16:4	6	60	g16r4/rpw8	80	shipped	640	219.2	151.4	370.6	15.9%	19.9%	1.0586	1.0373	1.0734	0.9849
dn:4:2+gu:16:2	6	60	g16r2/rpw4	160	g4r2/rpw16	160	271.4	117.9	389.3	13.3%	20.8%	1.0077	0.9874	0.8670	1.2646
dn:8:1+gu:16:2	6	60	g16r2/rpw4	160	g8r1/rpw4	640	275.0	208.2	483.1	15.6%	19.4%	0.8120	0.7957	0.8558	0.7162
