# sel_shape_probe (SYNTHETIC banks, no checkpoint — latency only, no oracle)
# geometry experts=512 hidden=2560 ff=640 selected=10 t=6 reps=25 slots=60
# pairs: gate+up in_f=2560 -> 80 (32-lane loop: 83.3% occupancy); down in_f=640 -> 20 (62.5% occupancy)
# per-expert bytes gate+up=1843200 down=921600 (chunk gate+up working set 105.5 MiB)
arm	t	slots	gu_shape	gu_gridx	dn_shape	dn_gridx	gu_us	down_us	section_us	gu_spread	dn_spread	section_vs_off	section_vs_ctl	gu_vs_ctl	dn_vs_ctl
off	6	60	shipped	160	shipped	640	222.9	138.9	361.8	19.8%	24.0%	1.0000	0.9983	0.9998	0.9960
dn:32:4+gu:32:4	6	60	g32r4/rpw4	160	g32r4/rpw4	640	222.8	138.3	361.1	16.1%	19.9%	1.0017	1.0000	1.0000	1.0000
auto	6	60	g16r4/rpw8	80	g4r4/rpw32	80	204.4	103.7	308.1	16.6%	21.6%	1.1741	1.1721	1.0902	1.3336
dn:4:4+gu:off	6	60	shipped	160	g4r4/rpw32	80	232.5	103.7	336.2	15.4%	20.8%	1.0759	1.0741	0.9585	1.3331
dn:off+gu:16:4	6	60	g16r4/rpw8	80	shipped	640	206.3	141.7	347.9	16.0%	20.0%	1.0397	1.0380	1.0804	0.9762
dn:4:2+gu:16:2	6	60	g16r2/rpw4	160	g4r2/rpw16	160	258.9	106.3	365.2	14.0%	240.8%	0.9905	0.9889	0.8607	1.3009
dn:8:1+gu:16:2	6	60	g16r2/rpw4	160	g8r1/rpw4	640	258.8	194.0	452.8	22.2%	19.7%	0.7989	0.7976	0.8611	0.7129
