cycle	free_before_bytes	free_after_demote_bytes	free_after_restore_bytes	vmm_released_chunk_bytes	reclaimed_bytes	reacquired_bytes	residual_bytes	restore_residual_bytes	free_before_drift_bytes	reclaim_observed	reclaim_exact_equal	residual_class	g1_reclaim_qualified	restored_prefix_state_manifest_sha256
1	8784248832	9688121344	8784248832	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	9d4d4191314b7e708f57471d8478d7b6c53b1c6ee245311600ee7f59d68fee87
2	8784248832	9688121344	8784248832	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	9d4d4191314b7e708f57471d8478d7b6c53b1c6ee245311600ee7f59d68fee87
3	8784248832	9688121344	8784248832	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	9d4d4191314b7e708f57471d8478d7b6c53b1c6ee245311600ee7f59d68fee87
4	8784248832	9688121344	8784248832	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	9d4d4191314b7e708f57471d8478d7b6c53b1c6ee245311600ee7f59d68fee87
5	8784248832	9688121344	8784248832	905969664	903872512	903872512	2097152	0	0	true	false	unclassified	false	9d4d4191314b7e708f57471d8478d7b6c53b1c6ee245311600ee7f59d68fee87
