timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/03 10:59:00.713, 0, 40, 180 MHz, 23.87 W, 2 MiB
2026/08/03 10:59:00.753, 1, 31, 180 MHz, 21.25 W, 2 MiB
2026/08/03 10:59:01.796, 0, 41, 1297 MHz, 28.75 W, 544 MiB
2026/08/03 10:59:01.796, 1, 31, 180 MHz, 23.01 W, 4 MiB
2026/08/03 10:59:02.796, 0, 41, 2400 MHz, 68.18 W, 2 MiB
2026/08/03 10:59:02.829, 1, 31, 180 MHz, 24.07 W, 2 MiB
