epoch_ms,mem_used_mib,admission_booked_bytes,cuda_driver_free_bytes
1790025823342,8377,0,0
1790025823592,8377,0,0
1790025823842,8377,0,0
1790025824092,8377,0,0
1790025824342,8441,0,0
1790025824592,8697,0,0
1790025824842,8697,0,16029908992
1790025825092,8697,0,16029908992
1790025825342,8697,0,16029908992
1790025825592,8697,0,16029908992
1790025825842,8697,0,16029908992
1790025826092,8697,0,16029908992
1790025826342,8697,0,16029908992
1790025826592,8697,0,16029908992
1790025826842,8953,0,16029908992
1790025827092,9561,0,16029908992
1790025827342,9593,0,16029908992
1790025827592,9593,0,16029908992
1790025827842,9593,0,16029908992
1790025828092,9593,0,16029908992
1790025828342,9593,0,16029908992
1790025828592,9593,0,16029908992
1790025828842,9593,0,16029908992
1790025829092,9593,0,16029908992
1790025829342,9593,0,16029908992
1790025829592,9593,0,16029908992
1790025829842,9593,0,16029908992
1790025830092,9593,0,16029908992
1790025830342,9593,0,16029908992
1790025830592,9753,0,16029908992
1790025830842,9785,0,16029908992
1790025831092,9817,0,16029908992
1790025831342,9817,0,16029908992
1790025831592,9817,0,16029908992
1790025831842,9817,0,16029908992
1790025832092,9913,0,16029908992
1790025832342,9913,6897311892,14754840576
1790025832592,9913,6897311892,14754840576
1790025832842,9913,6897311892,14754840576
1790025833092,9913,6897311892,14754840576
1790025833342,9913,0,14754840576
1790025833592,9913,0,14754840576
1790025833842,9913,0,14754840576
1790025834092,9913,0,14754840576
1790025834342,9913,0,14754840576
1790025834592,9913,0,14754840576
1790025834842,9913,0,14754840576
1790025835092,9913,0,14754840576
1790025835342,10969,0,14754840576
1790025835592,10969,0,14754840576
1790025835842,10969,0,14754840576
1790025836092,11097,0,14754840576
1790025836342,11097,0,14754840576
1790025836592,11097,0,14754840576
1790025836842,11129,0,14754840576
1790025837092,11129,0,14754840576
1790025837342,11129,0,14754840576
1790025837592,11129,0,14754840576
1790025837842,11129,0,14754840576
1790025838092,11129,0,14754840576
1790025838342,11129,0,14754840576
1790025838592,11129,0,14754840576
1790025838842,11129,0,13479772160
1790025839092,11129,0,13479772160
1790025839342,11129,0,13479772160
1790025839592,11129,0,13479772160
1790025839842,11129,0,13479772160
1790025840092,11129,0,13479772160
1790025840342,11129,0,13479772160
1790025840592,11129,0,13479772160
1790025840842,11129,0,13479772160
1790025841092,11129,0,13479772160
1790025841342,11129,0,13479772160
1790025841592,11129,0,13479772160
1790025841842,11129,0,13479772160
1790025842092,11129,0,13479772160
1790025842342,11129,0,13479772160
1790025842592,11129,0,13479772160
1790025842842,11129,0,13479772160
1790025843092,11129,0,13479772160
1790025843342,11129,0,13479772160
1790025843592,11129,0,13479772160
1790025843842,11129,0,13479772160
1790025844092,11129,0,13479772160
1790025844342,11129,0,13479772160
1790025844592,11129,0,13479772160
1790025844842,11129,0,13479772160
1790025845092,11129,0,13479772160
1790025845342,11129,0,13479772160
1790025845592,11129,0,13479772160
1790025845842,11129,0,13479772160
1790025846092,11129,0,13479772160
1790025846342,11129,6961434848,13479772160
1790025846592,11129,6961434848,13479772160
1790025846842,11129,6961434848,13479772160
1790025847092,11129,6961434848,13479772160
1790025847342,11129,0,13479772160
1790025847592,11129,0,13479772160
1790025847842,11129,0,13479772160
1790025848092,11129,0,13479772160
1790025848342,11129,0,13479772160
1790025848592,11129,0,13479772160
1790025848842,11129,0,13479772160
1790025849092,11129,0,13479772160
