Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
28.9,1175567985,54572,21541.6,16640.0,12256,48479,11784.1,qmatvec_nvfp4_mmvq_b6_rpsc
16.1,656334243,9490,69160.6,69151.0,67359,72159,523.6,qmatvec_nvfp4_mmvq_dual_b6_rpr2
11.9,485381653,2800,173350.6,197773.5,95359,321277,77190.0,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
7.3,297513922,13663,21775.2,19648.0,5695,64544,13939.9,qmatvec_nvfp4_mmvq_mr2_rp
5.0,203015526,5264,38566.8,62656.0,5663,66591,28225.8,qmatvec_nvfp4_mmvq_dual_mr2_rp
4.4,179244439,8832,20294.9,15488.0,11231,45152,11279.2,qmatvec_nvfp4_mmvq_b5_rpsc
2.8,113616453,5366,21173.4,22016.0,3616,36063,10508.8,qmatvec_q4_K_mmvq
2.5,103154931,1536,67158.2,67135.0,65664,68735,475.3,qmatvec_nvfp4_mmvq_dual_b5_rpr2
2.4,97426010,27849,3498.4,3167.0,2911,4544,499.9,add_rms_norm_q8_1
2.4,96638243,172,561850.3,562825.0,553626,567001,3137.5,qmatvec_q5_K_mmvq_b8_r2
2.1,84043409,15182,5535.7,6240.0,3008,8416,1256.9,gdn_scan_s128
1.9,78299227,15319,5111.2,1696.0,1247,15520,4485.7,rms_norm_f32
1.2,50448466,1804,27964.8,7648.0,5248,54784,22508.6,qmatvec_q6_K_mmvq
0.7,29077046,54,538463.8,536026.0,534746,556122,6683.7,qmatvec_q5_K_mmvq_il
0.7,28049961,1113,25202.1,16224.0,14271,60448,17019.1,filter_stats_f32
0.6,24944875,16542,1508.0,1504.0,1439,1696,24.9,l2_norm_f32
0.6,24763867,19206,1289.4,1280.0,1216,1472,19.5,append_quantize_kv_q8_0_q5_1
0.5,21269743,2756,7717.6,7872.0,6304,8320,451.1,fa_decode_vec_q_rows_v4
0.5,20320758,336,60478.4,60448.0,59391,61855,368.4,gdn_chunk_state_f32
0.5,19769086,98,201725.4,199405.5,176766,236990,17148.9,residual_sample_filtered_f32
0.5,18560000,14034,1322.5,1344.0,1215,1568,44.2,silu_mul_scaled_q8_1
0.4,17867456,8271,2160.3,2176.0,1920,2368,78.7,qkv_to_gdn_repack_f32
0.4,17731258,10526,1684.5,1728.0,1440,2016,95.4,gated_rmsnorm_q8_1
0.4,16096298,824,19534.3,13728.0,13056,39744,10694.6,softmax_gather_filtered_f32
0.4,15624740,8271,1889.1,1856.0,1727,2304,82.6,ssm_conv1d_tm_state_f32
0.4,15474898,10269,1507.0,1248.0,1088,5600,1014.2,quantize_q8_1
0.3,12187863,13106,929.9,896.0,831,4608,333.8,sigmoid_f32
0.3,10745013,9199,1168.1,1056.0,895,3808,293.1,rope_neox_f32
0.3,10253916,879,11665.4,11680.0,3168,13472,1206.2,fa_decode_vec_q_v4_deep_dc
0.2,9829481,8606,1142.2,1120.0,1056,1472,48.2,gdn_glog_f32
0.2,9402961,2756,3411.8,3456.0,2752,4064,304.1,fa_decode_combine_rows
0.2,9010537,672,13408.5,13407.0,13088,13951,136.7,qmatvec_nvfp4_dp4a_rp
0.2,8958397,8607,1040.8,1056.0,960,1152,21.2,ssm_conv_ring_update_f32
0.2,7178857,1631,4401.5,5920.0,1920,6208,1733.5,fa_decode_combine_f32
0.2,7141905,336,21255.7,21248.0,20863,21696,147.7,gdn_chunk_output_f32
0.2,6673950,4499,1483.4,1344.0,1248,7583,920.8,q_gate_split_f32
0.2,6633810,4656,1424.8,1440.0,1184,2016,133.9,ssm_conv_ring_rebuild_f32
0.2,6630680,2800,2368.1,1920.0,1792,5056,975.2,"quantize_mmq_q8_1_d4_kernel(const float *, void *, long, long, long, int)"
0.2,6224533,2873,2166.6,1152.0,1088,5792,1559.0,add_f32
0.1,5819328,7,831332.6,832119.0,826359,836502,3550.1,qmatvec_gemm_q6_K
0.1,5097065,112,45509.5,45503.0,45312,45824,126.0,fa_prefill_bf16kv_pp
0.1,4890248,336,14554.3,14560.0,14304,14880,81.6,gdn_chunk_attn_f32
0.1,4651357,4499,1033.9,960.0,800,4576,552.0,mul_f32
0.1,4454947,336,13258.8,13248.0,13024,13728,89.7,ssm_conv1d_gdn_state_f32
0.1,4420691,1327,3331.3,1472.0,1407,7424,2586.1,silu_mul_f32
0.1,3771473,2256,1671.8,1664.0,1599,2016,44.4,ssm_conv1d_fused_decode_f32
0.1,3500171,178,19663.9,18735.5,11199,27424,7012.3,qmatvec_q4_K_mmvq_b8
0.1,3478783,752,4626.0,4608.0,4416,5120,114.7,fa_decode_vec_q_v4_deep
0.1,2895807,336,8618.5,8671.5,8320,9216,189.0,gdn_chunk_solve32_f32
0.1,2795081,2256,1239.0,1216.0,1152,1536,45.1,gdn_prep_decode_f32
0.1,2192615,336,6525.6,6528.0,6335,6912,72.1,gated_rmsnorm_f32
0.0,1934663,1758,1100.5,1024.0,768,1504,172.7,inc_i32
0.0,1784876,14,127491.1,127518.5,84959,170591,43859.2,"void mul_mat_q_q45k<(int)128, (bool)0, (int)4>(const char *, const int *, float *, int, int, int, int, int, int)"
0.0,1776814,672,2644.1,2624.0,2176,3680,379.0,l2_norm_pp_v2_f32
0.0,1578086,448,3522.5,3519.5,3360,4000,87.5,memra_f16_cvt_kernel
0.0,1521996,879,1731.5,1664.0,1568,2880,146.1,embed_gather_u32
0.0,1269485,879,1444.2,1440.0,1376,1632,35.0,append_quantize_kv_q8_0_q5_1_dc
0.0,1201964,72,16693.9,16528.0,8896,24895,6917.8,qmatvec_q4_K_mmvq_b4
0.0,1078774,967,1115.6,1056.0,991,3040,257.8,argmax_partial_f32
0.0,1002073,967,1036.3,1024.0,991,1248,33.0,argmax_final_f32
0.0,921335,89,10352.1,10496.0,9440,10880,362.1,qmatvec_q6_K_mmvq_b8
0.0,762230,862,884.3,896.0,640,1184,75.2,memra_sctr_inc
0.0,755898,862,876.9,864.0,832,1120,29.2,gumbel_perturb_ctr_f32
0.0,703095,46,15284.7,15088.0,7200,23680,7894.8,qmatvec_q4_K_mmvq_b2
0.0,684599,381,1796.8,1632.0,1504,5440,614.2,embed_gather_u32_t
0.0,645015,220,2931.9,2912.0,2784,3456,90.8,rms_norm_q8_1
0.0,471227,112,4207.4,4192.0,4160,4288,21.0,append_quantize_kv_q8_0_q5_1_rows
0.0,433466,336,1290.1,1280.0,1247,1408,21.3,gdn_chunk_cumgate_f32
0.0,294173,224,1313.3,1312.0,1120,1600,136.1,f32_to_bf16_bulk
0.0,289309,36,8036.4,7791.5,7360,9184,517.4,qmatvec_q6_K_mmvq_b4
0.0,205566,23,8937.7,8960.0,8607,9216,170.9,qmatvec_q6_K_mmvq_b2
